Revance Therapeutics Price to Free Cash Flow Ratio Historical Data,Revance Therapeutics Price to Free Cash Flow Ratio Historical Data,Revance Therapeutics Price to Free Cash Flow Ratio Historical Data,Revance Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-12-20,3.09,,0.0
2024-09-30,5.19,$-2.02,0.0
2024-06-30,2.57,$-2.22,0.0
2024-03-31,4.92,$-2.51,0.0
2023-12-31,8.79,$-2.64,0.0
2023-09-30,11.47,$-2.48,0.0
2023-06-30,25.31,$-2.66,0.0
2023-03-31,32.21,$-2.66,0.0
2022-12-31,18.46,$-2.71,0.0
2022-09-30,27.0,$-3.03,0.0
2022-06-30,13.82,$-3.05,0.0
2022-03-31,19.5,$-3.17,0.0
2021-12-31,16.32,$-3.44,0.0
2021-09-30,27.86,$-3.90,0.0
2021-06-30,29.64,$-3.92,0.0
2021-03-31,27.95,$-3.52,0.0
2020-12-31,28.34,$-3.15,0.0
2020-09-30,25.14,$-2.72,0.0
2020-06-30,24.42,$-2.68,0.0
2020-03-31,14.8,$-3.03,0.0
2019-12-31,16.23,$-2.52,0.0
2019-09-30,13.0,$-11.17,0.0
2019-06-30,12.97,$-11.14,0.0
2019-03-31,15.76,$-11.51,0.0
2018-12-31,20.13,$-11.55,0.0
2018-09-30,24.85,$-3.09,0.0
2018-06-30,27.45,$-3.05,0.0
2018-03-31,30.8,$-2.84,0.0
2017-12-31,35.75,$-3.25,0.0
2017-09-30,27.55,$-2.78,0.0
2017-06-30,26.4,$-2.59,0.0
2017-03-31,20.8,$-2.35,0.0
2016-12-31,20.7,$-2.19,0.0
2016-09-30,16.21,$-2.34,0.0
2016-06-30,13.6,$-2.42,0.0
2016-03-31,17.46,$-2.38,0.0
2015-12-31,34.16,$-2.42,0.0
2015-09-30,29.76,$-2.77,0.0
2015-06-30,31.98,$-2.49,0.0
2015-03-31,20.73,$-1.84,0.0
2014-12-31,16.94,$-3.20,0.0
