MSA Safety Incorporporated Price to Free Cash Flow Ratio Historical Data,MSA Safety Incorporporated Price to Free Cash Flow Ratio Historical Data,MSA Safety Incorporporated Price to Free Cash Flow Ratio Historical Data,MSA Safety Incorporporated Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,150.56,,24.53
2024-12-31,165.77,$6.14,27.01
2024-09-30,176.82,$7.50,23.58
2024-06-30,186.61,$8.57,21.77
2024-03-31,191.95,$9.85,19.5
2023-12-31,166.96,$1.34,124.57
2023-09-30,155.46,$-1.42,0.0
2023-06-30,171.09,$-2.87,0.0
2023-03-31,130.87,$-5.04,0.0
2022-12-31,140.88,$2.88,48.91
2022-09-30,106.41,$3.33,31.92
2022-06-30,117.48,$2.70,43.53
2022-03-31,128.28,$3.31,38.8
2021-12-31,145.47,$3.80,38.25
2021-09-30,139.99,$4.43,31.64
2021-06-30,158.66,$4.03,39.41
2021-03-31,143.38,$4.76,30.13
2020-12-31,142.41,$4.02,35.39
2020-09-30,127.52,$3.61,35.37
2020-06-30,108.39,$4.28,25.32
2020-03-31,95.5,$3.56,26.86
2019-12-31,118.89,$3.28,36.24
2019-09-30,102.31,$3.28,31.19
2019-06-30,98.42,$5.10,19.29
2019-03-31,96.18,$5.56,17.3
2018-12-31,87.36,$6.02,14.51
2018-09-30,98.29,$5.13,19.16
2018-06-30,88.63,$3.24,27.35
2018-03-31,76.26,$3.24,23.54
2017-12-31,70.69,$5.34,13.24
2017-09-30,72.18,$7.09,10.18
2017-06-30,73.31,$6.49,11.29
2017-03-31,63.56,$5.85,10.86
2016-12-31,62.04,$3.36,18.47
2016-09-30,51.65,$1.78,28.96
2016-06-30,46.47,$1.22,37.94
2016-03-31,42.47,$1.32,32.06
2015-12-31,37.88,$0.72,52.83
2015-09-30,34.58,$1.14,30.37
2015-06-30,41.69,$2.01,20.77
2015-03-31,42.57,$1.34,31.75
2014-12-31,45.01,$2.04,22.1
2014-09-30,41.66,$1.66,25.08
2014-06-30,48.2,$1.91,25.25
2014-03-31,47.51,$2.11,22.48
2013-12-31,42.69,$2.02,21.14
2013-09-30,42.76,$2.62,16.34
2013-06-30,38.34,$2.14,17.88
2013-03-31,40.62,$3.01,13.48
2012-12-31,34.76,$3.74,9.3
2012-09-30,29.89,$3.63,8.23
2012-06-30,32.02,$3.57,8.97
2012-03-31,32.47,$2.60,12.5
2011-12-31,25.98,$2.00,13.01
2011-09-30,20.99,$1.30,16.19
2011-06-30,28.81,$1.05,27.35
2011-03-31,28.1,$0.70,40.12
2010-12-31,23.68,$0.34,70.22
2010-09-30,20.43,$0.53,38.68
2010-06-30,18.48,$1.10,16.81
2010-03-31,20.67,$2.12,9.73
2009-12-31,19.42,$2.79,6.95
