Surmodics Price to Free Cash Flow Ratio Historical Data,Surmodics Price to Free Cash Flow Ratio Historical Data,Surmodics Price to Free Cash Flow Ratio Historical Data,Surmodics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,29.98,,0.0
2024-12-31,39.6,$-0.13,0.0
2024-09-30,38.78,$-0.23,0.0
2024-06-30,42.04,$-0.41,0.0
2024-03-31,29.34,$1.61,18.22
2023-12-31,36.35,$0.71,51.25
2023-09-30,32.09,$0.54,59.27
2023-06-30,31.31,$0.28,110.95
2023-03-31,22.78,$-1.84,0.0
2022-12-31,34.12,$-1.76,0.0
2022-09-30,30.4,$-1.48,0.0
2022-06-30,37.23,$-1.38,0.0
2022-03-31,45.33,$-0.92,0.0
2021-12-31,48.15,$0.57,84.62
2021-09-30,55.6,$0.72,76.93
2021-06-30,54.25,$0.86,63.2
2021-03-31,56.07,$1.52,36.79
2020-12-31,43.52,$0.53,82.56
2020-09-30,38.91,$0.75,51.98
2020-06-30,43.24,$1.45,29.8
2020-03-31,33.32,$0.53,63.09
2019-12-31,41.43,$0.45,92.79
2019-09-30,45.74,$0.09,488.68
2019-06-30,43.17,$-0.46,0.0
2019-03-31,43.48,$-0.73,0.0
2018-12-31,47.26,$1.03,45.92
2018-09-30,74.65,$1.52,49.21
2018-06-30,55.2,$1.71,32.26
2018-03-31,38.05,$2.20,17.26
2017-12-31,28.0,$0.49,57.54
2017-09-30,31.0,$0.57,54.46
2017-06-30,28.15,$0.47,60.43
2017-03-31,24.05,$0.74,32.42
2016-12-31,25.4,$0.87,29.06
2016-09-30,30.09,$1.29,23.31
2016-06-30,23.48,$1.15,20.5
2016-03-31,18.41,$1.14,16.14
2015-12-31,20.27,$1.03,19.67
2015-09-30,21.84,$1.00,21.94
2015-06-30,23.42,$1.24,18.94
2015-03-31,26.03,$1.31,19.9
2014-12-31,22.1,$1.28,17.21
2014-09-30,18.16,$1.17,15.5
2014-06-30,21.42,$1.19,17.99
2014-03-31,22.6,$1.08,20.94
2013-12-31,24.39,$1.08,22.68
2013-09-30,23.78,$1.08,21.98
2013-06-30,20.01,$1.02,19.58
2013-03-31,27.25,$1.01,27.06
2012-12-31,22.36,$1.17,19.08
2012-09-30,20.22,$0.97,20.9
2012-06-30,17.3,$0.98,17.73
2012-03-31,15.37,$0.82,18.76
2011-12-31,14.66,$0.99,14.87
2011-09-30,9.1,$1.22,7.44
2011-06-30,11.1,$1.49,7.47
2011-03-31,12.5,$1.48,8.43
2010-12-31,11.87,$1.20,9.86
2010-09-30,11.92,$1.13,10.52
2010-06-30,16.41,$0.48,34.1
2010-03-31,20.94,$0.18,117.91
2009-12-31,22.66,$0.38,59.6
