Shoals Technologies Price to Free Cash Flow Ratio Historical Data,Shoals Technologies Price to Free Cash Flow Ratio Historical Data,Shoals Technologies Price to Free Cash Flow Ratio Historical Data,Shoals Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.31,,7.76
2024-12-31,5.53,$0.43,12.96
2024-09-30,5.61,$0.51,11.0
2024-06-30,6.24,$0.57,10.95
2024-03-31,11.18,$0.50,22.28
2023-12-31,15.54,$0.49,31.41
2023-09-30,18.25,$0.53,34.18
2023-06-30,25.56,$0.49,51.94
2023-03-31,22.79,$0.51,44.81
2022-12-31,24.67,$0.22,113.9
2022-09-30,21.55,$0.03,718.33
2022-06-30,16.48,$-0.07,0.0
2022-03-31,17.04,$-0.12,0.0
2021-12-31,24.3,$-0.08,0.0
