Mexco Energy Price to Free Cash Flow Ratio Historical Data,Mexco Energy Price to Free Cash Flow Ratio Historical Data,Mexco Energy Price to Free Cash Flow Ratio Historical Data,Mexco Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.08,,0.0
2024-12-31,11.28,$-0.35,0.0
2024-09-30,12.14,$0.30,39.83
2024-06-30,11.32,$0.29,39.4
2024-03-31,9.89,$0.64,15.37
2023-12-31,9.05,$1.76,5.15
2023-09-30,12.88,$1.42,9.08
2023-06-30,11.91,$1.54,7.75
2023-03-31,11.19,$0.55,20.54
2022-12-31,12.27,$-0.02,0.0
2022-09-30,15.95,$0.05,296.48
2022-06-30,16.9,$0.32,53.09
2022-03-31,15.93,$0.87,18.41
2021-12-31,9.22,$0.60,15.49
2021-09-30,10.23,$0.29,35.67
2021-06-30,9.61,$-0.11,0.0
2021-03-31,8.69,$-0.37,0.0
2020-12-31,5.93,$-0.39,0.0
2020-09-30,4.69,$-0.34,0.0
2020-06-30,3.23,$-0.38,0.0
2020-03-31,2.17,$-0.36,0.0
2019-12-31,3.87,$-0.21,0.0
2019-09-30,3.92,$-0.10,0.0
2019-06-30,3.88,$0.04,91.4
2019-03-31,4.87,$0.18,27.8
2018-12-31,2.72,$0.45,6.09
2018-09-30,5.51,$1.08,5.08
2018-06-30,5.89,$1.07,5.5
2018-03-31,3.01,$1.23,2.44
2017-12-31,3.86,$1.02,3.79
2017-09-30,4.38,$1.50,2.92
2017-06-30,4.24,$1.53,2.76
2017-03-31,3.8,$1.29,2.93
2016-12-31,4.92,$1.35,3.63
2016-09-30,4.03,$0.33,12.24
2016-06-30,2.43,$0.24,10.17
2016-03-31,2.31,$0.18,13.08
2015-12-31,3.18,$-0.10,0.0
2015-09-30,2.46,$-1.88,0.0
2015-06-30,4.58,$-1.90,0.0
2015-03-31,5.49,$-1.77,0.0
2014-12-31,5.34,$-1.87,0.0
2014-09-30,6.81,$-0.15,0.0
2014-06-30,8.17,$0.40,20.4
2014-03-31,7.58,$0.31,24.83
2013-12-31,6.79,$0.56,12.14
2013-09-30,6.45,$0.42,15.24
2013-06-30,5.72,$-0.13,0.0
2013-03-31,6.25,$-0.21,0.0
2012-12-31,6.33,$-0.47,0.0
2012-09-30,6.54,$-0.46,0.0
2012-06-30,5.84,$-0.29,0.0
2012-03-31,7.81,$0.17,46.2
2011-12-31,6.88,$0.18,39.2
2011-09-30,5.95,$0.31,19.28
2011-06-30,9.1,$-0.44,0.0
2011-03-31,12.93,$-0.62,0.0
2010-12-31,7.52,$-0.33,0.0
2010-09-30,6.24,$-0.37,0.0
2010-06-30,7.42,$0.32,22.96
2010-03-31,8.01,$0.18,44.35
2009-12-31,9.79,$0.06,153.28
