Hanesbrands Price to Free Cash Flow Ratio Historical Data,Hanesbrands Price to Free Cash Flow Ratio Historical Data,Hanesbrands Price to Free Cash Flow Ratio Historical Data,Hanesbrands Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.01,,8.87
2024-12-31,8.14,$0.68,12.01
2024-09-30,7.35,$1.26,5.85
2024-06-30,4.93,$1.41,3.49
2024-03-31,5.8,$1.43,4.04
2023-12-31,4.46,$1.48,3.02
2023-09-30,3.96,$0.98,4.05
2023-06-30,4.54,$0.30,14.98
2023-03-31,5.26,$-0.57,0.0
2022-12-31,6.36,$-1.35,0.0
2022-09-30,6.81,$-1.37,0.0
2022-06-30,9.91,$-0.32,0.0
2022-03-31,14.16,$0.86,16.38
2021-12-31,15.75,$1.58,9.96
2021-09-30,16.03,$1.95,8.22
2021-06-30,17.31,$1.84,9.4
2021-03-31,18.09,$1.43,12.67
2020-12-31,13.3,$1.12,11.87
2020-09-30,14.2,$1.99,7.12
2020-06-30,10.08,$2.07,4.88
2020-03-31,6.92,$2.23,3.1
2019-12-31,12.92,$1.93,6.68
2019-09-30,13.2,$1.78,7.43
2019-06-30,14.84,$1.50,9.86
2019-03-31,15.27,$1.34,11.41
2018-12-31,10.61,$1.54,6.91
2018-09-30,15.47,$1.02,15.13
2018-06-30,18.33,$1.25,14.71
2018-03-31,15.2,$1.24,12.26
2017-12-31,17.13,$1.55,11.04
2017-09-30,20.03,$1.76,11.37
2017-06-30,18.71,$2.00,9.37
2017-03-31,16.65,$2.24,7.43
2016-12-31,17.18,$1.57,10.96
2016-09-30,20.02,$1.27,15.78
2016-06-30,19.84,$0.64,30.84
2016-03-31,22.29,$0.30,73.65
2015-12-31,23.04,$0.35,65.04
2015-09-30,22.58,$0.32,71.0
2015-06-30,25.92,$0.44,58.4
2015-03-31,25.98,$0.57,45.21
2014-12-31,21.62,$1.11,19.56
2014-09-30,20.75,$1.22,17.07
2014-06-30,18.96,$1.32,14.38
2014-03-31,14.67,$1.39,10.59
2013-12-31,13.43,$1.36,9.88
2013-09-30,11.87,$1.15,10.31
2013-06-30,9.77,$1.30,7.51
2013-03-31,8.62,$1.33,6.47
2012-12-31,6.78,$1.28,5.3
2012-09-30,6.03,$1.15,5.24
2012-06-30,5.25,$0.49,10.7
2012-03-31,5.59,$0.27,20.5
2011-12-31,4.14,$0.24,16.93
2011-09-30,4.73,$0.16,30.25
2011-06-30,5.4,$0.12,44.78
2011-03-31,5.12,$-0.04,0.0
2010-12-31,4.8,$0.19,25.93
2010-09-30,4.89,$0.34,14.29
2010-06-30,4.55,$0.76,5.95
2010-03-31,5.26,$1.08,4.86
2009-12-31,4.56,$0.85,5.36
