Pinnacle West Capital Price to Free Cash Flow Ratio Historical Data,Pinnacle West Capital Price to Free Cash Flow Ratio Historical Data,Pinnacle West Capital Price to Free Cash Flow Ratio Historical Data,Pinnacle West Capital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,94.2,,0.0
2024-12-31,84.77,$-2.82,0.0
2024-09-30,87.67,$-3.45,0.0
2024-06-30,74.84,$-3.52,0.0
2024-03-31,72.36,$-3.07,0.0
2023-12-31,68.69,$-4.02,0.0
2023-09-30,69.62,$-4.88,0.0
2023-06-30,76.17,$-4.95,0.0
2023-03-31,73.29,$-4.54,0.0
2022-12-31,69.52,$-2.90,0.0
2022-09-30,58.23,$-3.27,0.0
2022-06-30,65.25,$-3.15,0.0
2022-03-31,68.87,$-3.39,0.0
2021-12-31,61.5,$-4.49,0.0
2021-09-30,62.24,$-3.70,0.0
2021-06-30,69.81,$-3.16,0.0
2021-03-31,68.61,$-2.57,0.0
2020-12-31,66.69,$-2.64,0.0
2020-09-30,61.56,$-2.95,0.0
2020-06-30,59.96,$-2.34,0.0
2020-03-31,61.35,$-2.12,0.0
2019-12-31,72.22,$-1.45,0.0
2019-09-30,77.31,$0.48,161.9
2019-06-30,74.34,$1.91,38.86
2019-03-31,74.93,$2.08,36.03
2018-12-31,66.24,$1.13,58.85
2018-09-30,61.01,$0.42,144.03
2018-06-30,61.54,$-1.30,0.0
2018-03-31,60.44,$-2.22,0.0
2017-12-31,63.96,$-2.38,0.0
2017-09-30,63.0,$-1.85,0.0
2017-06-30,62.96,$-2.60,0.0
2017-03-31,61.18,$-1.50,0.0
2016-12-31,56.77,$-1.68,0.0
2016-09-30,54.81,$-1.98,0.0
2016-06-30,58.0,$-1.06,0.0
2016-03-31,53.25,$-0.69,0.0
2015-12-31,45.3,$0.58,78.0
2015-09-30,44.62,$0.08,571.31
2015-06-30,39.2,$0.22,176.24
2015-03-31,43.5,$0.72,60.28
2014-12-31,46.22,$1.88,24.55
2014-09-30,36.61,$1.08,34.05
2014-06-30,38.36,$1.52,25.29
2014-03-31,35.89,$1.65,21.7
2013-12-31,34.37,$1.61,21.39
2013-09-30,35.2,$3.31,10.64
2013-06-30,35.34,$3.35,10.55
2013-03-31,36.56,$4.42,8.27
2012-12-31,31.87,$3.00,10.63
2012-09-30,32.67,$2.40,13.6
2012-06-30,31.71,$2.44,13.01
2012-03-31,29.04,$0.96,30.29
2011-12-31,28.88,$2.54,11.36
2011-09-30,25.46,$2.79,9.11
2011-06-30,26.11,$2.47,10.55
2011-03-31,24.75,$2.99,8.28
2010-12-31,23.68,$0.33,72.8
2010-09-30,23.28,$1.64,14.23
2010-06-30,20.23,$3.57,5.66
2010-03-31,20.7,$3.70,5.6
2009-12-31,19.78,$3.52,5.62
