European Wax Center Price to Free Cash Flow Ratio Historical Data,European Wax Center Price to Free Cash Flow Ratio Historical Data,European Wax Center Price to Free Cash Flow Ratio Historical Data,European Wax Center Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.01,,3.36
2024-12-31,6.67,$1.19,5.58
2024-09-30,6.8,$1.21,5.64
2024-06-30,9.93,$1.21,8.18
2024-03-31,12.98,$1.26,10.27
2023-12-31,13.59,$1.11,12.29
2023-09-30,16.2,$1.41,11.48
2023-06-30,18.63,$1.05,17.78
2023-03-31,19.0,$1.02,18.62
2022-12-31,12.45,$1.10,11.33
2022-09-30,18.45,$1.01,18.25
2022-06-30,17.62,$1.72,10.22
