ESS Tech Price to Free Cash Flow Ratio Historical Data,ESS Tech Price to Free Cash Flow Ratio Historical Data,ESS Tech Price to Free Cash Flow Ratio Historical Data,ESS Tech Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.32,,0.0
2024-09-30,6.32,$-6.29,0.0
2024-06-30,0.82,$-4.77,0.0
2024-03-31,0.72,$-5.34,0.0
2023-12-31,1.14,$-5.69,0.0
2023-09-30,1.88,$-6.86,0.0
2023-06-30,1.47,$-9.15,0.0
2023-03-31,1.39,$-9.15,0.0
2022-12-31,2.43,$-9.41,0.0
2022-09-30,4.09,$-10.14,0.0
2022-06-30,2.81,$-10.66,0.0
2022-03-31,5.57,$-10.54,0.0
2021-12-31,11.44,$-9.84,0.0
2021-09-30,9.97,$-6.34,0.0
