Cartesian Growth II Price to Free Cash Flow Ratio Historical Data,Cartesian Growth II Price to Free Cash Flow Ratio Historical Data,Cartesian Growth II Price to Free Cash Flow Ratio Historical Data,Cartesian Growth II Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.83,,0.0
2024-09-30,11.47,$-0.14,0.0
2024-06-30,11.28,$-0.16,0.0
2024-03-31,11.11,$-0.17,0.0
2023-12-31,10.94,$-0.16,0.0
2023-09-30,10.86,$0.05,219.84
2023-06-30,10.67,$-0.04,0.0
