Qualigen Therapeutics Price to Free Cash Flow Ratio Historical Data,Qualigen Therapeutics Price to Free Cash Flow Ratio Historical Data,Qualigen Therapeutics Price to Free Cash Flow Ratio Historical Data,Qualigen Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.14,,0.0
2024-09-30,8.53,$-66.18,0.0
2024-06-30,8.62,$-61.37,0.0
2024-03-31,20.0,$-81.60,0.0
2023-12-31,27.5,$-101.57,0.0
2023-09-30,50.5,$-78.76,0.0
2023-06-30,45.55,$-119.96,0.0
2023-03-31,46.26,$-143.34,0.0
2022-12-31,64.45,$-172.48,0.0
2022-09-30,133.5,$-187.35,0.0
2022-06-30,284.85,$-206.82,0.0
2022-03-31,330.0,$-271.01,0.0
2021-12-31,535.0,$-253.37,0.0
2021-09-30,650.0,$-43.05,0.0
2021-06-30,995.0,$-45.93,0.0
2021-03-31,1350.0,$-74.28,0.0
2020-12-31,1505.0,0,0.0
2020-09-30,2475.0,$-180.17,0.0
2020-06-30,1985.0,$-90.56,0.0
2020-03-31,3337.5,$35.53,93.94
2019-12-31,2111.25,$-1.52,0.0
2019-09-30,3875.0,$15.49,250.24
2019-06-30,13375.0,$-20.41,0.0
2019-03-31,10906.25,$-2.58,0.0
2018-12-31,7500.0,$-2.52,0.0
2018-09-30,23250.0,$-4.88,0.0
2018-06-30,32125.0,$-2.00,0.0
2018-03-31,34000.0,$-2.42,0.0
2017-12-31,41175.0,$-3.35,0.0
2017-09-30,43750.0,$-1.18,0.0
2017-06-30,68750.0,$-3.71,0.0
2017-03-31,177500.0,$-3.17,0.0
2016-12-31,338750.0,$-1.69,0.0
2016-09-30,210000.0,$-0.31,0.0
2016-06-30,191250.0,$-0.59,0.0
2016-03-31,141250.0,$-0.20,0.0
