FARO Technologies Price to Free Cash Flow Ratio Historical Data,FARO Technologies Price to Free Cash Flow Ratio Historical Data,FARO Technologies Price to Free Cash Flow Ratio Historical Data,FARO Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,29.46,,22.76
2024-12-31,25.36,$1.29,19.6
2024-09-30,19.14,$1.40,13.7
2024-06-30,16.0,$1.09,14.63
2024-03-31,21.51,$1.04,20.75
2023-12-31,22.53,$-0.30,0.0
2023-09-30,15.23,$-1.64,0.0
2023-06-30,16.2,$-2.26,0.0
2023-03-31,24.61,$-2.25,0.0
2022-12-31,29.41,$-1.70,0.0
2022-09-30,27.44,$-1.26,0.0
2022-06-30,30.83,$-0.70,0.0
2022-03-31,51.92,$-0.99,0.0
2021-12-31,70.02,$-1.13,0.0
2021-09-30,65.81,$-0.69,0.0
2021-06-30,77.77,$-0.72,0.0
2021-03-31,86.57,$-0.61,0.0
2020-12-31,70.63,$0.93,76.18
2020-09-30,60.98,$0.97,63.17
2020-06-30,53.6,$1.53,35.07
2020-03-31,44.5,$2.13,20.91
2019-12-31,50.35,$1.48,33.93
2019-09-30,48.35,$0.86,56.35
2019-06-30,52.58,$0.84,62.71
2019-03-31,43.91,$0.34,131.07
2018-12-31,40.64,$-0.27,0.0
2018-09-30,64.35,$0.37,172.94
2018-06-30,54.35,$0.27,204.79
2018-03-31,58.4,$-0.16,0.0
2017-12-31,47.0,$0.08,566.95
2017-09-30,38.25,$-0.01,0.0
2017-06-30,37.8,$-0.20,0.0
2017-03-31,35.75,$1.00,35.61
2016-12-31,36.0,$1.79,20.11
2016-09-30,35.95,$2.22,16.21
2016-06-30,33.83,$2.74,12.33
2016-03-31,32.21,$1.56,20.68
2015-12-31,29.52,$0.80,37.03
2015-09-30,35.0,$-0.45,0.0
2015-06-30,46.7,$-1.47,0.0
2015-03-31,62.13,$-0.68,0.0
2014-12-31,62.68,$-0.75,0.0
2014-09-30,50.75,$0.10,493.68
2014-06-30,49.12,$1.01,48.63
2014-03-31,53.0,$0.98,53.92
2013-12-31,58.3,$1.74,33.58
2013-09-30,42.17,$2.11,20.01
2013-06-30,33.82,$2.17,15.58
2013-03-31,43.39,$1.77,24.45
2012-12-31,35.68,$1.40,25.43
2012-09-30,41.32,$1.13,36.69
2012-06-30,42.08,$0.52,80.81
2012-03-31,58.33,$0.40,146.23
2011-12-31,46.0,$0.25,184.07
2011-09-30,31.55,$-0.06,0.0
2011-06-30,43.8,$0.36,121.6
2011-03-31,40.0,$0.70,56.76
2010-12-31,32.84,$0.67,49.15
2010-09-30,21.81,$0.95,22.93
2010-06-30,18.71,$0.84,22.32
2010-03-31,25.75,$0.48,53.78
2009-12-31,21.44,$0.35,61.98
