Bluerock Homes Trust Price to Free Cash Flow Ratio Historical Data,Bluerock Homes Trust Price to Free Cash Flow Ratio Historical Data,Bluerock Homes Trust Price to Free Cash Flow Ratio Historical Data,Bluerock Homes Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.13,,0.93
2024-09-30,14.95,$13.01,1.15
2024-06-30,17.5,$4.86,3.6
2024-03-31,16.97,$5.39,3.15
2023-12-31,13.99,$3.49,4.01
2023-09-30,12.92,$-2.59,0.0
