3M Price to Free Cash Flow Ratio Historical Data,3M Price to Free Cash Flow Ratio Historical Data,3M Price to Free Cash Flow Ratio Historical Data,3M Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,151.27,,119.54
2024-12-31,129.09,$1.27,102.02
2024-09-30,135.97,$1.44,94.17
2024-06-30,101.11,$7.99,12.66
2024-03-31,87.58,$8.65,10.12
2023-12-31,88.81,$9.36,9.49
2023-09-30,74.89,$9.16,8.18
2023-06-30,78.88,$8.23,9.58
2023-03-31,81.6,$7.45,10.95
2022-12-31,91.87,$7.12,12.9
2022-09-30,83.68,$6.87,12.18
2022-06-30,97.0,$7.55,12.84
2022-03-31,110.47,$8.80,12.56
2021-12-31,130.5,$10.08,12.94
2021-09-30,127.82,$11.35,11.26
2021-06-30,143.63,$12.36,11.62
2021-03-31,138.32,$12.45,11.11
2020-12-31,124.43,$11.58,10.75
2020-09-30,113.06,$10.92,10.36
2020-06-30,109.11,$10.32,10.58
2020-03-31,94.54,$9.80,9.65
2019-12-31,121.06,$9.39,12.89
2019-09-30,111.84,$9.32,12.01
2019-06-30,116.85,$9.32,12.53
2019-03-31,138.86,$9.76,14.23
2018-12-31,126.45,$8.51,14.86
2018-09-30,138.88,$7.82,17.77
2018-06-30,128.8,$7.10,18.13
2018-03-31,142.75,$6.75,21.15
2017-12-31,152.18,$8.02,18.97
2017-09-30,135.03,$8.62,15.67
2017-06-30,133.16,$8.82,15.1
2017-03-31,121.64,$8.16,14.9
2016-12-31,112.8,$8.57,13.17
2016-09-30,110.6,$8.58,12.89
2016-06-30,109.23,$8.18,13.35
2016-03-31,103.25,$8.16,12.65
2015-12-31,92.67,$7.83,11.83
2015-09-30,86.65,$7.44,11.65
2015-06-30,93.65,$7.50,12.49
2015-03-31,99.48,$7.99,12.45
2014-12-31,98.49,$7.96,12.38
2014-09-30,84.46,$7.55,11.19
2014-06-30,84.89,$6.56,12.94
2014-03-31,79.91,$6.39,12.5
2013-12-31,82.08,$6.17,13.3
2013-09-30,69.54,$5.82,11.96
2013-06-30,63.33,$6.02,10.52
2013-03-31,61.22,$5.64,10.85
2012-12-31,53.14,$5.48,9.69
2012-09-30,52.54,$5.44,9.66
2012-06-30,50.62,$5.50,9.2
2012-03-31,50.05,$5.62,8.9
2011-12-31,45.55,$5.51,8.27
2011-09-30,39.73,$5.31,7.48
2011-06-30,52.13,$5.35,9.74
2011-03-31,51.09,$5.07,10.07
2010-12-31,46.88,$5.66,8.28
2010-09-30,46.81,$5.25,8.92
2010-06-30,42.37,$5.90,7.18
2010-03-31,44.55,$6.43,6.93
2009-12-31,43.78,$5.82,7.52
