Dare Bioscience Price to Free Cash Flow Ratio Historical Data,Dare Bioscience Price to Free Cash Flow Ratio Historical Data,Dare Bioscience Price to Free Cash Flow Ratio Historical Data,Dare Bioscience Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.88,,0.0
2024-09-30,3.24,$-1.37,0.0
2024-06-30,4.03,$-1.59,0.0
2024-03-31,5.88,$-3.98,0.0
2023-12-31,3.71,$-5.43,0.0
2023-09-30,5.54,$-4.89,0.0
2023-06-30,10.92,$-2.81,0.0
2023-03-31,12.48,$-3.07,0.0
2022-12-31,9.96,$-2.58,0.0
2022-09-30,12.0,$-4.18,0.0
2022-06-30,14.76,$-3.77,0.0
2022-03-31,17.88,$-5.16,0.0
2021-12-31,24.0,$-5.65,0.0
2021-09-30,20.04,$-7.17,0.0
2021-06-30,22.68,$-10.07,0.0
2021-03-31,20.28,$-9.01,0.0
2020-12-31,16.08,$-10.07,0.0
2020-09-30,11.98,$-9.52,0.0
2020-06-30,11.86,$-10.35,0.0
2020-03-31,10.2,$-10.11,0.0
2019-12-31,9.84,$-10.26,0.0
2019-09-30,9.36,$-10.38,0.0
2019-06-30,10.2,$-11.15,0.0
2019-03-31,16.8,$-12.05,0.0
2018-12-31,8.53,$-11.50,0.0
2018-09-30,11.7,$-13.59,0.0
2018-06-30,14.04,$-12.38,0.0
2018-03-31,10.05,$-11.70,0.0
2017-12-31,25.97,$-9.43,0.0
2017-09-30,37.44,$-6.19,0.0
2017-06-30,53.28,$102.11,0.52
2017-03-31,97.49,$53.73,1.81
2016-12-31,84.98,$-5.35,0.0
2016-09-30,125.64,$-49.99,0.0
2016-06-30,254.4,$-190.16,0.0
2016-03-31,325.2,$-164.59,0.0
2015-12-31,336.0,$-151.86,0.0
2015-09-30,439.2,$-182.93,0.0
2015-06-30,552.0,$-173.95,0.0
2015-03-31,1081.2,$-205.82,0.0
