Unifi Price to Free Cash Flow Ratio Historical Data,Unifi Price to Free Cash Flow Ratio Historical Data,Unifi Price to Free Cash Flow Ratio Historical Data,Unifi Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.04,,0.0
2024-12-31,6.25,$-0.98,0.0
2024-09-30,7.34,$-1.55,0.0
2024-06-30,5.89,$-0.50,0.0
2024-03-31,5.99,$-0.83,0.0
2023-12-31,6.66,$-1.00,0.0
2023-09-30,7.1,$-0.58,0.0
2023-06-30,8.07,$-1.76,0.0
2023-03-31,8.17,$-1.77,0.0
2022-12-31,8.61,$-1.84,0.0
2022-09-30,9.51,$-1.76,0.0
2022-06-30,14.06,$-2.13,0.0
2022-03-31,18.1,$-1.59,0.0
2021-12-31,23.15,$-1.13,0.0
2021-09-30,21.93,$-0.82,0.0
2021-06-30,24.36,$0.82,29.63
2021-03-31,27.56,$1.64,16.77
2020-12-31,17.74,$1.50,11.81
2020-09-30,12.84,$1.15,11.18
2020-06-30,12.88,$1.85,6.95
2020-03-31,11.55,$1.11,10.38
2019-12-31,25.26,$1.01,24.94
2019-09-30,21.92,$0.69,31.63
2019-06-30,18.17,$-0.94,0.0
2019-03-31,19.35,$-0.89,0.0
2018-12-31,22.84,$-0.70,0.0
2018-09-30,28.33,$-0.52,0.0
2018-06-30,31.7,$0.66,48.01
2018-03-31,36.25,$1.04,34.73
2017-12-31,35.87,$1.29,27.74
2017-09-30,35.63,$1.38,25.87
2017-06-30,30.8,$0.70,44.13
2017-03-31,28.39,$0.19,146.42
2016-12-31,32.63,$0.62,52.27
2016-09-30,29.43,$0.90,32.6
2016-06-30,27.23,$0.20,137.8
2016-03-31,22.91,$0.75,30.52
2015-12-31,28.15,$0.35,80.41
2015-09-30,29.81,$0.26,115.19
2015-06-30,33.5,$0.69,48.78
2015-03-31,36.09,$0.56,64.77
2014-12-31,29.73,$1.09,27.2
2014-09-30,25.9,$1.46,17.73
2014-06-30,27.53,$2.04,13.51
2014-03-31,23.07,$1.55,14.84
2013-12-31,27.24,$1.70,16.03
2013-09-30,23.36,$2.05,11.42
2013-06-30,20.67,$2.01,10.26
2013-03-31,19.1,$2.69,7.1
2012-12-31,13.01,$2.34,5.57
2012-09-30,12.82,$1.95,6.56
2012-06-30,11.33,$1.84,6.17
2012-03-31,9.66,$1.62,5.97
2011-12-31,7.6,$0.08,93.14
2011-09-30,8.17,$-0.30,0.0
2011-06-30,13.8,$-0.41,0.0
2011-03-31,17.0,$-1.18,0.0
2010-12-31,16.93,$-0.22,0.0
2010-09-30,13.53,$-0.16,0.0
2010-06-30,11.46,$0.45,25.54
2010-03-31,10.92,$1.09,9.98
2009-12-31,11.64,$1.16,10.06
