Cerence Price to Free Cash Flow Ratio Historical Data,Cerence Price to Free Cash Flow Ratio Historical Data,Cerence Price to Free Cash Flow Ratio Historical Data,Cerence Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.57,,17.3
2024-12-31,7.85,$0.55,14.19
2024-09-30,3.15,$0.29,10.75
2024-06-30,2.83,$0.42,6.71
2024-03-31,15.75,$-0.11,0.0
2023-12-31,19.66,$0.05,370.94
2023-09-30,20.37,$0.06,345.25
2023-06-30,29.23,$-0.39,0.0
2023-03-31,28.09,$-0.36,0.0
2022-12-31,18.53,$-0.59,0.0
2022-09-30,15.75,$-0.50,0.0
2022-06-30,25.23,$0.20,128.01
2022-03-31,36.1,$0.95,38.12
2021-12-31,76.64,$1.41,54.4
2021-09-30,96.11,$1.59,60.57
2021-06-30,106.71,$1.73,61.55
2021-03-31,89.58,$1.56,57.58
2020-12-31,100.48,$0.74,135.82
2020-09-30,48.87,$0.71,69.06
