PB Bankshares Price to Free Cash Flow Ratio Historical Data,PB Bankshares Price to Free Cash Flow Ratio Historical Data,PB Bankshares Price to Free Cash Flow Ratio Historical Data,PB Bankshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.32,,17.8
2024-09-30,15.46,$0.92,16.87
2024-06-30,14.13,$1.01,13.95
2024-03-31,12.9,$0.98,13.15
2023-12-31,12.54,$1.30,9.63
2023-09-30,12.34,$1.74,7.11
2023-06-30,13.8,$2.05,6.73
2023-03-31,13.05,$1.72,7.58
2022-12-31,13.58,$1.63,8.35
2022-09-30,12.41,$0.87,14.33
2022-06-30,13.16,$0.55,24.02
