Chemomab Therapeutics Price to Free Cash Flow Ratio Historical Data,Chemomab Therapeutics Price to Free Cash Flow Ratio Historical Data,Chemomab Therapeutics Price to Free Cash Flow Ratio Historical Data,Chemomab Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.35,,0.0
2024-09-30,1.57,$-0.33,0.0
2024-06-30,0.91,$-1.19,0.0
2024-03-31,0.78,$-1.36,0.0
2023-12-31,0.51,$-2.01,0.0
2023-09-30,0.9,$-2.19,0.0
2023-06-30,1.32,$-2.29,0.0
2023-03-31,1.59,$-2.12,0.0
2022-12-31,3.2,$-1.80,0.0
2022-09-30,2.49,$-1.57,0.0
2022-06-30,3.7,$-1.39,0.0
2022-03-31,4.8,$-1.28,0.0
2021-12-31,6.9,$-1.12,0.0
2021-09-30,11.08,$-1.08,0.0
2021-06-30,19.02,$-0.90,0.0
2021-03-31,28.71,$-0.64,0.0
2020-12-31,27.68,$-0.77,0.0
2020-09-30,18.24,$-15.50,0.0
2020-06-30,21.92,$-23.51,0.0
2020-03-31,12.58,$-29.03,0.0
2019-12-31,22.4,$-38.45,0.0
