Zynex Price to Free Cash Flow Ratio Historical Data,Zynex Price to Free Cash Flow Ratio Historical Data,Zynex Price to Free Cash Flow Ratio Historical Data,Zynex Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.57,,6.84
2024-12-31,8.01,$0.38,21.3
2024-09-30,8.16,$0.46,17.59
2024-06-30,9.32,$0.49,19.1
2024-03-31,12.37,$0.47,26.29
2023-12-31,10.89,$0.46,23.71
2023-09-30,8.0,$0.42,18.94
2023-06-30,9.59,$0.37,26.05
2023-03-31,12.0,$0.35,34.6
2022-12-31,13.91,$0.34,40.84
2022-09-30,9.07,$0.41,22.11
2022-06-30,7.98,$0.31,25.4
2022-03-31,6.23,$0.35,17.87
2021-12-31,9.86,$0.16,61.0
2021-09-30,11.27,$-0.08,0.0
2021-06-30,15.36,$-0.19,0.0
2021-03-31,15.11,$-0.16,0.0
2020-12-31,13.32,$-0.00,0.0
2020-09-30,17.26,$0.10,171.44
2020-06-30,24.61,$0.17,141.17
2020-03-31,10.95,$0.13,86.24
2019-12-31,7.79,$0.16,47.36
