Veru Price to Free Cash Flow Ratio Historical Data,Veru Price to Free Cash Flow Ratio Historical Data,Veru Price to Free Cash Flow Ratio Historical Data,Veru Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.5,,0.0
2024-12-31,0.65,$-0.18,0.0
2024-09-30,0.77,$-0.16,0.0
2024-06-30,0.84,$-0.27,0.0
2024-03-31,0.7,$-0.37,0.0
2023-12-31,0.72,$-0.67,0.0
2023-09-30,0.72,$-1.04,0.0
2023-06-30,1.19,$-1.16,0.0
2023-03-31,1.16,$-1.19,0.0
2022-12-31,5.28,$-0.92,0.0
2022-09-30,11.52,$-0.60,0.0
2022-06-30,11.3,$-0.34,0.0
2022-03-31,4.83,$-0.33,0.0
2021-12-31,5.89,$-0.31,0.0
2021-09-30,8.53,$-0.19,0.0
2021-06-30,8.07,$-0.19,0.0
2021-03-31,10.78,$0.02,541.46
2020-12-31,8.65,$0.02,508.82
2020-09-30,2.62,$-0.03,0.0
2020-06-30,3.34,$-0.04,0.0
2020-03-31,3.27,$-0.10,0.0
2019-12-31,3.35,$-0.10,0.0
2019-09-30,2.16,$-0.09,0.0
2019-06-30,2.13,$-0.13,0.0
2019-03-31,1.46,$-0.20,0.0
2018-12-31,1.4,$-0.24,0.0
2018-09-30,1.42,$-0.22,0.0
2018-06-30,2.02,$-0.15,0.0
2018-03-31,1.81,$-0.02,0.0
2017-12-31,1.14,$-0.01,0.0
2017-09-30,2.65,$0.02,108.16
2017-06-30,1.05,$-0.02,0.0
2017-03-31,1.01,$-0.05,0.0
2016-12-31,0.91,$-0.01,0.0
2016-09-30,1.22,$-0.06,0.0
2016-06-30,1.26,$0.02,59.72
2016-03-31,1.87,$-0.00,0.0
2015-12-31,1.45,$-0.03,0.0
2015-09-30,1.58,$-0.06,0.0
2015-06-30,1.8,$-0.03,0.0
2015-03-31,2.83,$-0.01,0.0
2014-12-31,3.92,$0.04,91.38
2014-09-30,3.49,$0.12,28.24
2014-06-30,5.51,$0.01,374.83
2014-03-31,7.69,$0.27,28.17
2013-12-31,8.35,$0.41,20.61
2013-09-30,9.62,$0.40,24.04
2013-06-30,9.54,$0.47,20.15
2013-03-31,6.94,$0.33,20.85
2012-12-31,6.83,$0.31,22.4
2012-09-30,6.75,$0.33,20.26
2012-06-30,5.48,$0.37,14.66
2012-03-31,5.01,$0.32,15.82
2011-12-31,4.13,$0.23,18.1
2011-09-30,3.7,$0.24,15.47
2011-06-30,4.48,$0.18,25.04
2011-03-31,4.43,$0.11,40.2
2010-12-31,5.0,$0.19,25.86
2010-09-30,4.49,$0.14,32.48
2010-06-30,4.48,$0.09,48.49
2010-03-31,6.14,$0.16,37.45
2009-12-31,4.01,$0.17,24.28
