Virginia National Bankshares Price to Free Cash Flow Ratio Historical Data,Virginia National Bankshares Price to Free Cash Flow Ratio Historical Data,Virginia National Bankshares Price to Free Cash Flow Ratio Historical Data,Virginia National Bankshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,35.93,,13.42
2024-09-30,41.32,$2.68,15.43
2024-06-30,32.28,$0.18,182.45
2024-03-31,29.3,$1.95,15.01
2023-12-31,33.1,$2.81,11.78
2023-09-30,28.96,$3.25,8.92
2023-06-30,30.36,$4.38,6.93
2023-03-31,33.59,$5.03,6.68
2022-12-31,33.95,$5.32,6.39
2022-09-30,29.8,$5.70,5.22
2022-06-30,28.67,$4.73,6.05
2022-03-31,31.12,$3.13,9.95
2021-12-31,33.88,$2.51,13.47
2021-09-30,32.05,$2.07,15.48
2021-06-30,28.15,$2.24,12.57
2021-03-31,27.89,$3.42,8.16
2020-12-31,23.22,$3.34,6.95
