Smith Micro Software Price to Free Cash Flow Ratio Historical Data,Smith Micro Software Price to Free Cash Flow Ratio Historical Data,Smith Micro Software Price to Free Cash Flow Ratio Historical Data,Smith Micro Software Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.8,,0.0
2024-12-31,1.31,$-1.16,0.0
2024-09-30,1.02,$-0.95,0.0
2024-06-30,2.21,$-0.43,0.0
2024-03-31,2.75,$-0.25,0.0
2023-12-31,6.61,$-0.86,0.0
2023-09-30,9.68,$-1.40,0.0
2023-06-30,8.88,$-2.04,0.0
2023-03-31,9.28,$-2.56,0.0
2022-12-31,16.8,$-2.79,0.0
2022-09-30,18.08,$-4.47,0.0
2022-06-30,19.76,$-4.02,0.0
2022-03-31,30.16,$-3.77,0.0
2021-12-31,39.36,$-2.15,0.0
2021-09-30,38.72,$0.15,259.0
2021-06-30,41.76,$0.76,54.72
2021-03-31,44.04,$1.60,27.53
2020-12-31,43.36,$1.23,35.11
2020-09-30,29.84,$2.30,12.96
2020-06-30,35.68,$2.87,12.45
2020-03-31,33.68,$2.28,14.78
2019-12-31,31.84,$1.80,17.68
2019-09-30,43.48,$0.74,58.5
2019-06-30,24.32,$-0.45,0.0
2019-03-31,22.4,$-0.31,0.0
2018-12-31,14.4,$-1.09,0.0
2018-09-30,20.16,$-2.25,0.0
2018-06-30,18.32,$-3.13,0.0
2018-03-31,14.0,$-4.29,0.0
2017-12-31,22.72,$-4.45,0.0
2017-09-30,8.96,$-5.81,0.0
2017-06-30,11.68,$-7.79,0.0
2017-03-31,7.44,$-9.29,0.0
2016-12-31,12.56,$-8.03,0.0
2016-09-30,16.24,$-5.27,0.0
2016-06-30,18.93,$-1.68,0.0
2016-03-31,18.88,$-0.52,0.0
2015-12-31,23.33,$-0.14,0.0
2015-09-30,27.84,$-0.09,0.0
2015-06-30,36.8,$0.50,73.61
2015-03-31,40.96,$-1.99,0.0
2014-12-31,31.04,$-5.56,0.0
2014-09-30,28.5,$-8.60,0.0
2014-06-30,33.28,$-14.68,0.0
2014-03-31,63.68,$-14.65,0.0
2013-12-31,47.36,$-15.06,0.0
2013-09-30,28.8,$-7.65,0.0
2013-06-30,33.92,$-6.76,0.0
2013-03-31,42.24,$-7.85,0.0
2012-12-31,48.0,$-11.72,0.0
2012-09-30,51.52,$-23.65,0.0
2012-06-30,58.88,$-26.81,0.0
2012-03-31,74.56,$-23.58,0.0
2011-12-31,36.16,$-24.24,0.0
2011-09-30,48.64,$-10.19,0.0
2011-06-30,134.72,$-0.87,0.0
2011-03-31,299.52,$5.67,52.82
2010-12-31,503.68,$17.04,29.56
2010-09-30,318.08,$14.37,22.14
2010-06-30,304.32,$14.93,20.38
2010-03-31,282.88,$12.29,23.01
2009-12-31,292.8,$13.28,22.04
