SOPHiA GENETICS SA Price to Free Cash Flow Ratio Historical Data,SOPHiA GENETICS SA Price to Free Cash Flow Ratio Historical Data,SOPHiA GENETICS SA Price to Free Cash Flow Ratio Historical Data,SOPHiA GENETICS SA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.0,,0.0
2024-12-31,3.07,$-0.65,0.0
2024-09-30,3.65,$-0.67,0.0
2024-06-30,4.58,$-0.73,0.0
2024-03-31,4.93,$-0.75,0.0
2023-12-31,4.71,$-0.77,0.0
2023-09-30,2.55,$-0.79,0.0
2023-06-30,4.48,$-0.97,0.0
2023-03-31,4.97,$-1.11,0.0
2022-12-31,2.06,$-1.16,0.0
2022-09-30,2.63,$-1.31,0.0
2022-06-30,3.62,$-1.69,0.0
