Matinas Biopharma Holdings Price to Free Cash Flow Ratio Historical Data,Matinas Biopharma Holdings Price to Free Cash Flow Ratio Historical Data,Matinas Biopharma Holdings Price to Free Cash Flow Ratio Historical Data,Matinas Biopharma Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.54,,0.0
2024-09-30,3.54,$-3.51,0.0
2024-06-30,7.92,$-3.85,0.0
2024-03-31,13.55,$-3.95,0.0
2023-12-31,10.81,$-3.57,0.0
2023-09-30,6.5,$-3.51,0.0
2023-06-30,18.0,$-3.70,0.0
2023-03-31,23.5,$-4.34,0.0
2022-12-31,25.0,$-4.62,0.0
2022-09-30,31.8,$-4.63,0.0
2022-06-30,39.5,$-4.76,0.0
2022-03-31,40.22,$-3.77,0.0
2021-12-31,50.5,$-3.68,0.0
2021-09-30,65.0,$-3.80,0.0
2021-06-30,38.75,$-3.77,0.0
2021-03-31,52.5,$-4.33,0.0
2020-12-31,68.0,$-4.41,0.0
2020-09-30,38.3,$-5.22,0.0
2020-06-30,38.65,$-5.07,0.0
2020-03-31,30.01,$-4.92,0.0
2019-12-31,113.5,$-4.99,0.0
2019-09-30,31.53,$-4.24,0.0
2019-06-30,42.83,$-4.61,0.0
2019-03-31,54.5,$-5.27,0.0
2018-12-31,29.75,$-5.53,0.0
2018-09-30,46.0,$-5.58,0.0
2018-06-30,21.69,$-5.56,0.0
2018-03-31,38.24,$-6.62,0.0
2017-12-31,58.0,$-6.85,0.0
