Arch Resources Price to Free Cash Flow Ratio Historical Data,Arch Resources Price to Free Cash Flow Ratio Historical Data,Arch Resources Price to Free Cash Flow Ratio Historical Data,Arch Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-12-19,143.63,,13.05
2024-09-30,137.95,$11.00,12.54
2024-06-30,151.72,$16.27,9.32
2024-03-31,160.25,$23.53,6.81
2023-12-31,163.72,$23.95,6.84
2023-09-30,168.37,$23.03,7.31
2023-06-30,107.91,$38.60,2.8
2023-03-31,123.02,$41.51,2.96
2022-12-31,130.95,$49.41,2.65
2022-09-30,101.37,$50.22,2.02
2022-06-30,117.52,$30.52,3.85
2022-03-31,107.64,$16.97,6.34
2021-12-31,71.4,$-0.41,0.0
2021-09-30,72.29,$-11.53,0.0
2021-06-30,44.41,$-13.98,0.0
2021-03-31,32.42,$-12.89,0.0
2020-12-31,34.11,$-14.83,0.0
2020-09-30,33.11,$-12.69,0.0
2020-06-30,22.14,$-7.00,0.0
2020-03-31,22.52,$-0.19,0.0
2019-12-31,55.32,$8.87,6.24
2019-09-30,56.88,$16.88,3.37
2019-06-30,71.79,$17.94,4.0
2019-03-31,69.2,$15.48,4.47
2018-12-31,62.61,$15.64,4.0
2018-09-30,67.44,$12.62,5.34
2018-06-30,58.9,$11.88,4.96
2018-03-31,68.67,$26.03,2.64
2017-12-31,69.35,$9.21,7.53
2017-09-30,53.17,$11.73,4.53
