Federated Hermes Price to Free Cash Flow Ratio Historical Data,Federated Hermes Price to Free Cash Flow Ratio Historical Data,Federated Hermes Price to Free Cash Flow Ratio Historical Data,Federated Hermes Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,39.78,,9.22
2024-12-31,41.11,$4.31,9.53
2024-09-30,36.49,$4.27,8.56
2024-06-30,32.33,$3.97,8.15
2024-03-31,34.12,$3.74,9.13
2023-12-31,31.73,$3.62,8.76
2023-09-30,31.47,$3.62,8.7
2023-06-30,33.03,$3.69,8.96
2023-03-31,36.72,$4.02,9.13
2022-12-31,33.0,$3.73,8.86
2022-09-30,29.87,$2.92,10.21
2022-06-30,28.44,$2.05,13.87
2022-03-31,30.2,$1.80,16.73
2021-12-31,33.05,$1.71,19.37
2021-09-30,28.36,$2.28,12.43
2021-06-30,29.34,$2.74,10.69
2021-03-31,26.86,$3.11,8.65
2020-12-31,24.55,$3.73,6.59
2020-09-30,17.37,$3.67,4.73
2020-06-30,18.94,$3.76,5.04
2020-03-31,15.04,$3.45,4.36
2019-12-31,25.54,$3.29,7.77
2019-09-30,25.2,$3.22,7.82
2019-06-30,25.27,$1.67,15.17
2019-03-31,22.6,$1.61,14.06
2018-12-31,20.27,$1.95,10.4
2018-09-30,18.22,$2.71,6.73
2018-06-30,17.41,$4.27,4.08
2018-03-31,24.67,$4.02,6.13
2017-12-31,26.45,$3.88,6.82
2017-09-30,21.6,$2.84,7.6
2017-06-30,20.36,$2.68,7.6
2017-03-31,18.8,$2.64,7.13
2016-12-31,19.99,$2.55,7.84
2016-09-30,19.95,$2.46,8.1
2016-06-30,19.22,$2.40,8.02
2016-03-31,19.11,$2.36,8.11
2015-12-31,18.78,$2.26,8.31
2015-09-30,18.79,$2.23,8.44
2015-06-30,21.61,$1.89,11.45
2015-03-31,21.71,$1.79,12.1
2014-12-31,20.94,$1.82,11.49
2014-09-30,18.52,$2.43,7.62
2014-06-30,19.34,$2.50,7.72
2014-03-31,18.93,$2.49,7.61
2013-12-31,17.68,$2.49,7.1
2013-09-30,16.52,$1.87,8.84
2013-06-30,16.53,$2.88,5.73
2013-03-31,14.12,$2.95,4.79
2012-12-31,11.95,$3.07,3.9
2012-09-30,11.27,$2.00,5.64
2012-06-30,11.76,$1.16,10.16
2012-03-31,11.93,$0.89,13.43
2011-12-31,7.96,$1.05,7.61
2011-09-30,9.1,$1.79,5.07
2011-06-30,12.22,$1.80,6.79
2011-03-31,13.59,$2.20,6.17
2010-12-31,13.18,$2.11,6.23
2010-09-30,11.35,$2.27,5.0
2010-06-30,10.22,$2.43,4.21
2010-03-31,12.88,$2.34,5.51
2009-12-31,12.66,$2.48,5.1
