Forrester Research Price to Free Cash Flow Ratio Historical Data,Forrester Research Price to Free Cash Flow Ratio Historical Data,Forrester Research Price to Free Cash Flow Ratio Historical Data,Forrester Research Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.62,,0.0
2024-12-31,15.67,$-0.38,0.0
2024-09-30,18.01,$0.28,63.33
2024-06-30,17.08,$-0.08,0.0
2024-03-31,21.56,$0.24,89.68
2023-12-31,26.81,$0.84,31.91
2023-09-30,28.9,$0.31,92.63
2023-06-30,29.09,$0.77,37.75
2023-03-31,32.35,$1.21,26.8
2022-12-31,35.76,$1.76,20.31
2022-09-30,36.01,$2.85,12.62
2022-06-30,47.84,$3.30,14.49
2022-03-31,56.42,$4.06,13.89
2021-12-31,58.73,$4.98,11.8
2021-09-30,49.26,$4.77,10.34
2021-06-30,45.8,$4.34,10.55
2021-03-31,42.48,$3.04,13.98
2020-12-31,41.9,$2.05,20.42
2020-09-30,32.79,$1.13,29.09
2020-06-30,32.04,$1.49,21.44
2020-03-31,29.23,$1.75,16.72
2019-12-31,41.7,$1.97,21.12
2019-09-30,32.14,$1.97,16.35
2019-06-30,47.03,$1.95,24.18
2019-03-31,48.35,$2.72,17.77
2018-12-31,44.7,$1.82,24.62
2018-09-30,45.69,$1.76,25.91
2018-06-30,41.58,$1.72,24.15
2018-03-31,40.9,$1.02,40.19
2017-12-31,43.4,$1.62,26.72
2017-09-30,40.92,$2.03,20.15
2017-06-30,38.1,$1.91,19.92
2017-03-31,38.5,$2.03,18.92
2016-12-31,41.39,$2.21,18.75
2016-09-30,37.32,$2.12,17.61
2016-06-30,35.21,$2.00,17.62
2016-03-31,31.95,$1.95,16.41
2015-12-31,26.92,$1.66,16.25
2015-09-30,29.56,$1.43,20.7
2015-06-30,33.69,$0.89,37.74
2015-03-31,34.23,$0.64,53.74
2014-12-31,36.47,$1.44,25.4
2014-09-30,34.01,$1.27,26.84
2014-06-30,34.81,$1.45,24.09
2014-03-31,32.8,$1.42,23.16
2013-12-31,34.85,$1.29,26.98
2013-09-30,33.34,$1.88,17.71
2013-06-30,33.14,$2.18,15.21
2013-03-31,28.47,$2.22,12.84
2012-12-31,23.98,$2.10,11.44
2012-09-30,25.61,$1.78,14.4
2012-06-30,30.0,$1.73,17.36
2012-03-31,28.58,$1.16,24.75
2011-12-31,29.81,$0.68,44.07
2011-09-30,28.56,$0.31,92.05
2011-06-30,28.95,$0.32,90.41
2011-03-31,33.63,$1.07,31.53
2010-12-31,31.0,$1.09,28.33
2010-09-30,26.58,$1.61,16.51
2010-06-30,24.31,$1.83,13.28
2010-03-31,24.2,$1.86,12.98
2009-12-31,20.85,$1.70,12.29
