Universal Health Services Price to Free Cash Flow Ratio Historical Data,Universal Health Services Price to Free Cash Flow Ratio Historical Data,Universal Health Services Price to Free Cash Flow Ratio Historical Data,Universal Health Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,178.7,,10.8
2024-12-31,179.42,$16.54,10.84
2024-09-30,228.78,$13.92,16.44
2024-06-30,184.59,$12.22,15.1
2024-03-31,182.12,$8.52,21.38
2023-12-31,151.98,$7.48,20.31
2023-09-30,125.17,$5.78,21.64
2023-06-30,156.83,$7.08,22.14
2023-03-31,126.15,$2.03,62.21
2022-12-31,139.63,$3.55,39.34
2022-09-30,87.26,$3.35,26.05
2022-06-30,99.45,$5.51,18.04
2022-03-31,142.91,$5.61,25.47
2021-12-31,127.66,$0.34,381.07
2021-09-30,136.0,$-1.82,0.0
2021-06-30,143.74,$1.90,75.62
2021-03-31,130.78,$13.31,9.83
2020-12-31,134.61,$19.03,7.07
2020-09-30,104.77,$21.57,4.86
2020-06-30,90.94,$18.02,5.05
2020-03-31,97.0,$9.83,9.87
2019-12-31,140.22,$9.03,15.52
2019-09-30,145.19,$8.99,16.15
2019-06-30,127.09,$8.16,15.58
2019-03-31,130.28,$7.14,18.24
2018-12-31,113.43,$6.50,17.44
2018-09-30,124.32,$7.23,17.19
2018-06-30,108.29,$6.62,16.35
2018-03-31,114.96,$6.02,19.08
2017-12-31,109.95,$7.16,15.35
2017-09-30,107.52,$5.04,21.32
2017-06-30,118.2,$4.87,24.28
2017-03-31,120.39,$7.92,15.21
2016-12-31,102.83,$8.05,12.77
2016-09-30,119.01,$9.16,12.99
2016-06-30,129.41,$9.25,13.99
2016-03-31,120.27,$8.55,14.06
2015-12-31,115.13,$6.84,16.83
2015-09-30,120.15,$7.86,15.29
2015-06-30,136.7,$7.28,18.78
2015-03-31,113.15,$7.20,15.72
2014-12-31,106.86,$6.41,16.66
2014-09-30,100.27,$6.08,16.49
2014-06-30,91.8,$5.83,15.73
2014-03-31,78.63,$5.47,14.36
2013-12-31,77.81,$5.29,14.71
2013-09-30,71.76,$4.85,14.81
2013-06-30,64.03,$4.68,13.68
2013-03-31,61.03,$4.95,12.34
2012-12-31,46.16,$4.46,10.34
2012-09-30,43.24,$3.18,13.6
2012-06-30,40.76,$3.85,10.59
2012-03-31,39.52,$3.39,11.67
2011-12-31,36.61,$4.31,8.49
2011-09-30,31.99,$4.00,8.0
2011-06-30,48.42,$4.01,12.09
2011-03-31,46.39,$3.17,14.65
2010-12-31,40.72,$2.67,15.22
2010-09-30,36.4,$1.96,18.59
2010-06-30,35.67,$1.53,23.37
2010-03-31,32.78,$1.68,19.51
2009-12-31,28.44,$1.64,17.31
