Global Partners LP Price to Free Cash Flow Ratio Historical Data,Global Partners LP Price to Free Cash Flow Ratio Historical Data,Global Partners LP Price to Free Cash Flow Ratio Historical Data,Global Partners LP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,54.48,,0.0
2024-12-31,46.55,$-0.67,0.0
2024-09-30,45.87,$2.66,17.26
2024-06-30,44.16,$1.45,30.55
2024-03-31,42.29,$8.17,5.17
2023-12-31,39.69,$12.82,3.1
2023-09-30,32.44,$4.81,6.74
2023-06-30,27.62,$7.37,3.75
2023-03-31,27.29,$13.03,2.1
2022-12-31,29.33,$14.74,1.99
2022-09-30,20.45,$16.33,1.25
2022-06-30,18.99,$15.00,1.27
2022-03-31,21.55,$3.08,6.99
2021-12-31,18.16,$-1.32,0.0
2021-09-30,15.97,$1.88,8.48
2021-06-30,19.09,$0.25,75.5
2021-03-31,15.38,$-0.09,0.0
2020-12-31,11.65,$7.12,1.64
2020-09-30,8.9,$5.15,1.73
2020-06-30,6.42,$6.67,0.96
2020-03-31,5.57,$7.27,0.77
2019-12-31,12.41,$0.83,14.9
2019-09-30,11.77,$7.67,1.53
2019-06-30,11.65,$2.99,3.9
2019-03-31,11.2,$4.09,2.74
2018-12-31,9.05,$3.48,2.6
2018-09-30,9.87,$-2.95,0.0
2018-06-30,9.02,$2.28,3.96
2018-03-31,7.9,$2.55,3.09
2017-12-31,8.37,$9.85,0.85
2017-09-30,8.5,$6.69,1.27
2017-06-30,8.6,$5.72,1.5
2017-03-31,9.06,$2.42,3.75
2016-12-31,8.84,$-3.38,0.0
2016-09-30,7.13,$1.50,4.74
2016-06-30,5.86,$-0.55,0.0
2016-03-31,5.56,$1.49,3.72
2015-12-31,7.02,$-0.81,0.0
2015-09-30,11.08,$2.93,3.78
2015-06-30,12.41,$6.05,2.05
2015-03-31,13.09,$3.56,3.67
2014-12-31,12.2,$9.23,1.32
2014-09-30,15.17,$3.90,3.89
2014-06-30,14.56,$-3.44,0.0
2014-03-31,12.91,$-1.23,0.0
2013-12-31,12.3,$7.16,1.72
2013-09-30,11.89,$9.10,1.31
2013-06-30,13.43,$11.11,1.21
2013-03-31,11.87,$19.22,0.62
2012-12-31,8.25,$7.33,1.13
2012-09-30,8.33,$5.20,1.6
2012-06-30,7.11,$8.59,0.83
2012-03-31,7.1,$-0.40,0.0
2011-12-31,6.54,$-1.43,0.0
2011-09-30,5.13,$-4.39,0.0
2011-06-30,7.25,$-11.69,0.0
2011-03-31,7.28,$-12.30,0.0
2010-12-31,7.54,$-6.14,0.0
2010-09-30,6.71,$-8.98,0.0
2010-06-30,5.96,$-3.66,0.0
2010-03-31,5.8,$-10.38,0.0
2009-12-31,5.84,$-5.29,0.0
