Newegg Commerce Price to Free Cash Flow Ratio Historical Data,Newegg Commerce Price to Free Cash Flow Ratio Historical Data,Newegg Commerce Price to Free Cash Flow Ratio Historical Data,Newegg Commerce Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.3,,0.0
2022-09-30,2.34,$-0.08,0.0
2022-06-30,3.68,0,0.0
2021-12-31,10.37,0,0.0
2021-09-30,14.27,$-0.11,0.0
2021-06-30,19.38,0,0.0
2020-12-31,4.15,0,0.0
2020-06-30,5.48,0,0.0
2019-12-31,2.72,0,0.0
2018-12-31,9.07,0,0.0
2018-06-30,14.72,0,0.0
2017-12-31,14.03,0,0.0
2017-06-30,8.96,0,0.0
2016-12-31,12.0,0,0.0
2016-06-30,12.08,0,0.0
2015-12-31,18.1,0,0.0
2015-06-30,21.76,0,0.0
2014-12-31,21.84,$-3.06,0.0
2014-06-30,44.4,$2.24,19.78
2013-12-31,31.04,$5.36,5.79
2013-06-30,16.8,$2.71,6.2
2012-12-31,15.44,$3.06,5.04
2012-09-30,15.52,$-0.77,0.0
2012-06-30,13.28,$-5.17,0.0
2012-03-31,18.72,$-4.45,0.0
2011-12-31,11.36,$-5.86,0.0
2011-09-30,16.24,$-6.17,0.0
2011-06-30,21.36,$-7.32,0.0
2011-03-31,41.84,$-14.16,0.0
