Astria Therapeutics Price to Free Cash Flow Ratio Historical Data,Astria Therapeutics Price to Free Cash Flow Ratio Historical Data,Astria Therapeutics Price to Free Cash Flow Ratio Historical Data,Astria Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.37,,0.0
2024-12-31,8.94,$-1.45,0.0
2024-09-30,11.01,$-2.02,0.0
2024-06-30,9.1,$-2.06,0.0
2024-03-31,14.08,$-2.16,0.0
2023-12-31,7.68,$-2.27,0.0
2023-09-30,7.46,$-1.95,0.0
2023-06-30,8.33,$-2.10,0.0
2023-03-31,13.3,$-2.49,0.0
2022-12-31,14.89,$-2.98,0.0
2022-09-30,9.04,$-3.92,0.0
2022-06-30,3.0,$-2.42,0.0
2022-03-31,6.71,$-2.00,0.0
2021-12-31,5.39,$-3.38,0.0
2021-09-30,8.84,$-4.94,0.0
2021-06-30,12.66,$-8.50,0.0
2021-03-31,17.34,$-10.34,0.0
2020-12-31,12.84,$-10.63,0.0
2020-09-30,37.14,$-12.09,0.0
2020-06-30,38.58,$-12.65,0.0
2020-03-31,24.9,$-12.80,0.0
2019-12-31,35.46,$-14.24,0.0
2019-09-30,32.4,$-22.05,0.0
2019-06-30,48.42,$-11.08,0.0
2019-03-31,47.52,$-16.08,0.0
2018-12-31,26.22,$-27.41,0.0
2018-09-30,48.0,$-32.95,0.0
2018-06-30,57.54,$-59.11,0.0
2018-03-31,108.6,$-64.23,0.0
2017-12-31,89.4,$-74.32,0.0
2017-09-30,127.2,$-81.70,0.0
2017-06-30,84.6,$-89.36,0.0
2017-03-31,96.0,$-111.53,0.0
2016-12-31,216.6,$-122.95,0.0
2016-09-30,369.6,$-240.28,0.0
2016-06-30,222.0,$501.11,0.44
2016-03-31,302.4,$-262.29,0.0
