Hyatt Hotels Price to Free Cash Flow Ratio Historical Data,Hyatt Hotels Price to Free Cash Flow Ratio Historical Data,Hyatt Hotels Price to Free Cash Flow Ratio Historical Data,Hyatt Hotels Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,123.92,,6.74
2024-12-31,156.98,$18.39,8.53
2024-09-30,152.05,$19.47,7.81
2024-06-30,151.62,$12.73,11.91
2024-03-31,159.31,$7.69,20.72
2023-12-31,130.02,$5.50,23.66
2023-09-30,105.63,$4.84,21.81
2023-06-30,113.94,$4.79,23.79
2023-03-31,111.01,$10.41,10.66
2022-12-31,89.82,$9.87,9.1
2022-09-30,80.4,$8.23,9.76
2022-06-30,73.4,$15.33,4.79
2022-03-31,94.79,$11.58,8.19
2021-12-31,95.23,$9.25,10.29
2021-09-30,76.56,$7.12,10.76
2021-06-30,77.1,$-1.34,0.0
2021-03-31,82.13,$-6.72,0.0
2020-12-31,73.73,$-6.40,0.0
2020-09-30,53.0,$-0.37,0.0
2020-06-30,49.94,$5.43,9.19
2020-03-31,47.57,$8.83,5.39
2019-12-31,88.87,$9.10,9.77
2019-09-30,72.8,$5.80,12.56
2019-06-30,75.04,$4.96,15.14
2019-03-31,71.34,$3.73,19.13
2018-12-31,66.28,$12.39,5.35
2018-09-30,77.88,$14.68,5.31
2018-06-30,75.34,$11.54,6.53
2018-03-31,74.34,$15.00,4.95
2017-12-31,71.55,$7.53,9.5
2017-09-30,60.12,$4.36,13.8
2017-06-30,54.69,$4.84,11.3
2017-03-31,52.52,$4.63,11.34
2016-12-31,53.77,$4.03,13.34
2016-09-30,47.89,$4.16,11.51
2016-06-30,47.81,$4.38,10.91
2016-03-31,48.15,$2.42,19.9
2015-12-31,45.75,$2.48,18.45
2015-09-30,45.83,$9.64,4.75
2015-06-30,55.16,$9.00,6.13
2015-03-31,57.62,$9.01,6.39
2014-12-31,58.58,$10.93,5.36
2014-09-30,58.88,$4.08,14.43
2014-06-30,59.33,$6.40,9.27
2014-03-31,52.36,$7.13,7.34
2013-12-31,48.12,$5.18,9.29
2013-09-30,41.8,$5.25,7.96
2013-06-30,39.27,$3.01,13.03
2013-03-31,42.06,$2.05,20.51
2012-12-31,37.53,$1.72,21.78
2012-09-30,39.06,$0.67,58.67
2012-06-30,36.16,$0.38,94.97
2012-03-31,41.57,$0.83,50.18
2011-12-31,36.62,$1.00,36.46
2011-09-30,30.52,$1.82,16.74
2011-06-30,39.72,$2.02,19.65
2011-03-31,41.88,$1.33,31.51
2010-12-31,44.52,$2.14,20.81
2010-09-30,36.38,$1.95,18.7
