Netcapital Price to Free Cash Flow Ratio Historical Data,Netcapital Price to Free Cash Flow Ratio Historical Data,Netcapital Price to Free Cash Flow Ratio Historical Data,Netcapital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.72,,0.0
2024-10-31,1.53,$-17.42,0.0
2024-07-31,0.07,$-18.47,0.0
2024-04-30,0.13,$-28.19,0.0
2024-01-31,0.18,$-44.57,0.0
2023-10-31,0.4,$-49.96,0.0
2023-07-31,0.68,$-59.26,0.0
2023-04-30,1.36,$-69.04,0.0
