Ranpak Holdings Corp Price to Free Cash Flow Ratio Historical Data,Ranpak Holdings Corp Price to Free Cash Flow Ratio Historical Data,Ranpak Holdings Corp Price to Free Cash Flow Ratio Historical Data,Ranpak Holdings Corp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.7,,25.11
2024-09-30,6.53,$0.23,28.77
2024-06-30,6.43,$0.17,38.25
2024-03-31,7.87,$-0.00,0.0
2023-12-31,5.82,$0.00,0.0
2023-09-30,5.44,$-0.11,0.0
2023-06-30,4.52,$-0.16,0.0
2023-03-31,5.22,$-0.35,0.0
2022-12-31,5.77,$-0.53,0.0
2022-09-30,3.42,$-0.54,0.0
2022-06-30,7.0,$-0.54,0.0
2022-03-31,20.43,$-0.26,0.0
2021-12-31,37.58,$-0.00,0.0
2021-09-30,26.82,$0.26,102.92
2021-06-30,25.03,$0.44,57.37
2021-03-31,20.06,$0.44,45.84
2020-12-31,13.44,$0.43,30.9
2020-09-30,9.52,$0.20,47.41
2020-06-30,7.44,$0.18,41.73
2020-03-31,6.26,$-0.04,0.0
2019-12-31,8.15,$-0.06,0.0
2019-09-30,6.06,$-0.09,0.0
2019-06-30,8.85,$-0.18,0.0
2019-03-31,10.25,$0.00,0.0
2018-12-31,10.03,0,0.0
