Unifirst Price to Free Cash Flow Ratio Historical Data,Unifirst Price to Free Cash Flow Ratio Historical Data,Unifirst Price to Free Cash Flow Ratio Historical Data,Unifirst Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,200.13,,24.38
2024-11-30,200.51,$8.21,24.42
2024-08-31,189.01,$7.27,26.0
2024-05-31,158.03,$5.17,30.54
2024-02-29,167.79,$4.75,35.32
2023-11-30,171.32,$3.34,51.3
2023-08-31,174.52,$2.36,73.88
2023-05-31,169.26,$0.43,395.27
2023-02-28,193.7,$-0.78,0.0
2022-11-30,191.04,$-0.41,0.0
2022-08-31,177.42,$-1.04,0.0
2022-05-31,160.59,$-1.07,0.0
2022-02-28,177.78,$0.13,1342.73
2021-11-30,187.7,$2.37,79.18
2021-08-31,224.1,$4.16,53.82
2021-05-31,216.63,$7.71,28.09
2021-02-28,236.54,$8.25,28.66
2020-11-30,180.25,$8.29,21.75
2020-08-31,187.56,$8.94,20.97
2020-05-31,174.85,$8.69,20.12
2020-02-29,180.45,$8.41,21.46
2019-11-30,200.05,$9.24,21.66
2019-08-31,189.92,$8.48,22.4
2019-05-31,153.81,$7.71,19.95
2019-02-28,139.21,$6.85,20.31
2018-11-30,149.34,$5.04,29.65
2018-08-31,179.01,$5.97,30.0
2018-05-31,171.56,$5.77,29.75
2018-02-28,149.98,$4.97,30.16
2017-11-30,157.86,$4.62,34.18
2017-08-31,138.61,$5.45,25.41
2017-05-31,136.74,$4.78,28.63
2017-02-28,128.41,$5.96,21.55
2016-11-30,136.33,$5.85,23.32
2016-08-31,123.8,$5.43,22.81
2016-05-31,111.49,$6.89,16.19
2016-02-29,101.57,$6.25,16.25
2015-11-30,104.59,$6.31,16.57
2015-08-31,104.39,$6.26,16.67
2015-05-31,110.03,$6.05,18.2
2015-02-28,114.35,$4.96,23.06
2014-11-30,107.34,$4.62,23.23
2014-08-31,93.23,$5.16,18.08
2014-05-31,95.11,$5.41,17.59
2014-02-28,105.4,$6.61,15.95
2013-11-30,98.21,$6.19,15.87
2013-08-31,92.06,$5.46,16.86
2013-05-31,91.08,$4.86,18.75
2013-02-28,80.14,$5.11,15.69
2012-11-30,67.66,$5.05,13.4
2012-08-31,60.85,$4.33,14.07
2012-05-31,54.79,$3.23,16.98
2012-02-29,57.49,$2.41,23.9
2011-11-30,55.3,$1.23,44.88
2011-08-31,49.47,$1.14,43.24
2011-05-31,51.19,$1.44,35.47
2011-02-28,53.81,$2.47,21.76
2010-11-30,48.87,$3.45,14.17
2010-08-31,37.39,$4.31,8.67
2010-05-31,42.81,$5.27,8.13
2010-02-28,49.97,$5.67,8.81
2009-11-30,41.75,$6.48,6.45
