Dawson Geophysical Price to Free Cash Flow Ratio Historical Data,Dawson Geophysical Price to Free Cash Flow Ratio Historical Data,Dawson Geophysical Price to Free Cash Flow Ratio Historical Data,Dawson Geophysical Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.44,,0.0
2024-09-30,1.58,$-0.02,0.0
2024-06-30,1.95,$-0.04,0.0
2024-03-31,1.19,$0.08,14.97
2023-12-31,1.54,$-0.10,0.0
2023-09-30,1.95,$-0.10,0.0
2023-06-30,1.71,$-0.10,0.0
2023-03-31,1.3,$0.06,21.74
2022-12-31,1.65,$-0.17,0.0
2022-09-30,1.34,$-0.55,0.0
2022-06-30,1.13,$-0.57,0.0
2022-03-31,1.96,$-1.05,0.0
2021-12-31,1.95,$-0.68,0.0
2021-09-30,2.09,$-0.40,0.0
2021-06-30,2.19,$0.43,5.12
2021-03-31,2.06,$0.82,2.52
2020-12-31,1.78,$0.74,2.4
2020-09-30,1.48,$1.26,1.17
2020-06-30,1.21,$0.11,11.45
2020-03-31,0.82,$0.30,2.71
2019-12-31,2.02,$0.23,8.69
2019-09-30,1.8,$-0.31,0.0
2019-06-30,2.1,$-0.01,0.0
2019-03-31,2.46,$-0.11,0.0
2018-12-31,2.84,$-0.11,0.0
2018-09-30,5.2,$-0.03,0.0
2018-06-30,6.64,$0.08,78.25
2018-03-31,5.39,$-0.35,0.0
2017-12-31,3.98,$-0.62,0.0
2017-09-30,3.62,$-0.82,0.0
2017-06-30,3.14,$-0.84,0.0
2017-03-31,4.45,$-0.56,0.0
2016-12-31,6.43,$0.11,60.51
2016-09-30,6.1,$0.54,11.41
2016-06-30,6.52,$0.84,7.75
2016-03-31,3.66,$1.16,3.16
2015-12-31,2.77,$0.70,3.94
2015-09-30,3.05,$1.60,1.9
2015-06-30,3.76,$-0.14,0.0
2015-03-31,3.42,$-0.37,0.0
2014-12-31,5.18,$0.99,5.23
2014-09-30,9.24,$-0.28,0.0
2014-06-30,13.08,$1.16,11.26
2014-03-31,13.6,$3.22,4.23
2013-12-31,16.69,$2.67,6.25
2013-09-30,18.03,$2.23,8.09
2013-06-30,18.79,$2.42,7.77
2013-03-31,22.63,$2.17,10.44
2012-12-31,18.72,$1.18,15.91
2012-09-30,16.13,$1.48,10.88
2012-06-30,21.75,$1.74,12.52
2012-03-31,22.22,$0.73,30.33
2011-12-31,15.99,$1.71,9.35
2011-09-30,9.86,$1.61,6.11
2011-06-30,14.31,$1.31,10.97
2011-03-31,17.4,$0.25,70.29
2010-12-31,8.51,$-0.39,0.0
2010-09-30,8.4,$0.64,13.13
2010-06-30,6.79,$1.37,4.95
2010-03-31,9.05,$2.36,3.83
2009-12-31,8.76,$2.65,3.3
