CS Disco Price to Free Cash Flow Ratio Historical Data,CS Disco Price to Free Cash Flow Ratio Historical Data,CS Disco Price to Free Cash Flow Ratio Historical Data,CS Disco Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.46,,0.0
2024-12-31,4.99,$-0.19,0.0
2024-09-30,5.88,$-0.19,0.0
2024-06-30,5.96,$-0.26,0.0
2024-03-31,8.13,$-0.37,0.0
2023-12-31,7.59,$-0.51,0.0
2023-09-30,6.64,$-0.70,0.0
2023-06-30,8.22,$-0.85,0.0
2023-03-31,6.64,$-0.91,0.0
2022-12-31,6.32,$-0.86,0.0
2022-09-30,10.0,$-0.99,0.0
2022-06-30,18.04,$-1.16,0.0
