BM Technologies Price to Free Cash Flow Ratio Historical Data,BM Technologies Price to Free Cash Flow Ratio Historical Data,BM Technologies Price to Free Cash Flow Ratio Historical Data,BM Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-12-20,4.8,,20.23
2024-09-30,3.4,$0.24,14.33
2024-06-30,2.25,$0.11,20.97
2024-03-31,1.65,$0.34,4.9
2023-12-31,2.05,$-0.38,0.0
2023-09-30,2.0,$-1.28,0.0
2023-06-30,2.98,$-1.52,0.0
2023-03-31,3.52,$-1.41,0.0
2022-12-31,5.21,$-0.18,0.0
2022-09-30,6.69,$0.68,9.8
2022-06-30,5.89,$1.22,4.84
2022-03-31,8.55,$2.19,3.9
2021-12-31,9.21,$2.25,4.1
2021-09-30,8.9,$2.38,3.74
2021-06-30,12.44,$2.46,5.06
2021-03-31,11.65,$3.01,3.88
2020-12-31,14.04,$1.96,7.15
2020-09-30,10.32,$1.32,7.81
2020-06-30,10.95,$1.13,9.71
2020-03-31,10.29,$-0.69,0.0
2019-12-31,10.26,$-0.35,0.0
2019-09-30,10.16,$-0.20,0.0
2019-06-30,10.04,$-0.23,0.0
