Nanovibronix Price to Free Cash Flow Ratio Historical Data,Nanovibronix Price to Free Cash Flow Ratio Historical Data,Nanovibronix Price to Free Cash Flow Ratio Historical Data,Nanovibronix Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.45,,0.0
2024-09-30,0.61,$-0.95,0.0
2024-06-30,0.7,$-1.00,0.0
2024-03-31,0.9,$-1.56,0.0
2023-12-31,1.15,$-2.06,0.0
2023-09-30,1.97,$-2.69,0.0
2023-06-30,3.43,$-3.75,0.0
2023-03-31,3.43,$-4.44,0.0
2022-12-31,5.04,$-4.96,0.0
2022-09-30,9.2,$-4.86,0.0
2022-06-30,12.6,$-3.83,0.0
2022-03-31,23.2,$-3.93,0.0
2021-12-31,20.8,$-3.47,0.0
2021-09-30,41.2,$-4.84,0.0
2021-06-30,17.02,$-5.11,0.0
2021-03-31,20.4,$-4.91,0.0
2020-12-31,15.28,$-6.59,0.0
2020-09-30,14.01,$-7.55,0.0
2020-06-30,45.0,$-9.87,0.0
2020-03-31,43.0,$-10.82,0.0
2019-12-31,57.0,$-11.17,0.0
2019-09-30,50.0,$-10.78,0.0
2019-06-30,58.0,$-10.29,0.0
2019-03-31,81.0,$-11.15,0.0
2018-12-31,72.42,$-11.04,0.0
2018-09-30,91.8,$-17.11,0.0
