STERIS Price to Free Cash Flow Ratio Historical Data,STERIS Price to Free Cash Flow Ratio Historical Data,STERIS Price to Free Cash Flow Ratio Historical Data,STERIS Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,225.47,,29.72
2024-12-31,205.56,$7.59,27.09
2024-09-30,241.89,$6.85,35.3
2024-06-30,218.43,$6.05,36.1
2024-03-31,223.17,$6.24,35.75
2023-12-31,217.76,$6.06,35.92
2023-09-30,216.77,$5.57,38.94
2023-06-30,221.74,$5.08,43.61
2023-03-31,188.1,$4.09,46.04
2022-12-31,181.17,$3.70,48.92
2022-09-30,162.68,$4.09,39.76
2022-06-30,201.21,$4.77,42.21
2022-03-31,235.49,$4.06,58.03
2021-12-31,236.65,$4.30,55.0
2021-09-30,198.23,$4.44,44.69
2021-06-30,199.8,$4.92,40.64
2021-03-31,184.09,$5.25,35.07
2020-12-31,182.76,$5.58,32.73
2020-09-30,169.53,$4.71,35.99
2020-06-30,147.26,$4.53,32.51
2020-03-31,134.0,$4.44,30.18
2019-12-31,145.6,$3.98,36.6
2019-09-30,137.69,$4.06,33.88
2019-06-30,141.51,$3.97,35.67
2019-03-31,121.4,$4.16,29.2
2018-12-31,101.03,$3.87,26.12
2018-09-30,107.85,$3.74,28.83
2018-06-30,98.7,$3.80,25.94
2018-03-31,87.49,$3.43,25.48
2017-12-31,81.7,$3.37,24.23
2017-09-30,82.28,$3.27,25.18
2017-06-30,75.58,$2.92,25.91
2017-03-31,64.19,$2.97,21.58
2016-12-31,62.03,$3.65,17.01
2016-09-30,67.0,$2.54,26.37
2016-06-30,62.77,$2.09,29.99
2016-03-31,64.64,$1.81,35.64
2015-12-31,68.27,$1.17,58.38
2015-09-30,58.88,$2.19,26.83
2015-06-30,58.4,$2.60,22.47
2015-03-31,63.68,$2.69,23.66
2014-12-31,58.77,$2.58,22.75
2014-09-30,48.9,$2.74,17.82
2014-06-30,48.46,$2.35,20.66
2014-03-31,43.27,$2.14,20.19
2013-12-31,43.54,$1.78,24.5
2013-09-30,38.75,$1.80,21.55
2013-06-30,38.49,$1.79,21.55
2013-03-31,37.19,$2.39,15.58
2012-12-31,30.89,$2.38,12.97
2012-09-30,31.37,$2.10,14.92
2012-06-30,27.59,$2.25,12.28
2012-03-31,27.65,$1.40,19.7
2011-12-31,25.94,$1.23,21.13
2011-09-30,25.3,$0.64,39.35
2011-06-30,30.06,$0.34,88.23
2011-03-31,29.55,$0.69,42.73
2010-12-31,31.06,$1.40,22.17
2010-09-30,28.18,$2.33,12.1
2010-06-30,26.23,$2.97,8.83
2010-03-31,28.31,$3.10,9.14
2009-12-31,23.44,$4.62,5.08
