Bankwell Financial Price to Free Cash Flow Ratio Historical Data,Bankwell Financial Price to Free Cash Flow Ratio Historical Data,Bankwell Financial Price to Free Cash Flow Ratio Historical Data,Bankwell Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,30.0,,7.92
2024-12-31,31.15,$3.79,8.22
2024-09-30,29.76,$1.84,16.16
2024-06-30,25.01,$3.56,7.02
2024-03-31,25.36,$4.23,6.0
2023-12-31,29.29,$3.91,7.49
2023-09-30,23.37,$6.22,3.76
2023-06-30,23.31,$6.92,3.37
2023-03-31,23.55,$8.27,2.85
2022-12-31,27.7,$10.17,2.72
2022-09-30,27.22,$9.60,2.84
2022-06-30,28.86,$8.80,3.28
2022-03-31,31.26,$5.94,5.26
2021-12-31,30.17,$5.00,6.03
2021-09-30,26.65,$4.76,5.6
2021-06-30,25.11,$3.74,6.71
2021-03-31,24.36,$4.21,5.79
2020-12-31,17.55,$0.24,74.52
2020-09-30,12.6,$0.07,174.28
2020-06-30,14.03,$-0.77,0.0
2020-03-31,13.34,$-1.45,0.0
2019-12-31,25.08,$0.77,32.62
2019-09-30,23.81,$0.17,138.42
2019-06-30,24.72,$1.20,20.6
2019-03-31,25.02,$1.27,19.76
2018-12-31,24.51,$2.14,11.46
2018-09-30,26.67,$2.23,11.95
2018-06-30,27.23,$2.05,13.26
2018-03-31,27.24,$2.51,10.86
2017-12-31,28.87,$2.44,11.84
2017-09-30,30.99,$1.45,21.34
2017-06-30,26.14,$1.50,17.41
2017-03-31,28.73,$1.57,18.29
2016-12-31,27.09,$1.20,22.62
2016-09-30,19.7,$1.86,10.61
2016-06-30,18.3,$1.73,10.58
2016-03-31,16.2,$1.88,8.63
2015-12-31,16.39,$1.71,9.58
2015-09-30,15.05,$2.53,5.94
2015-06-30,14.68,$2.23,6.57
2015-03-31,15.86,$1.85,8.59
2014-12-31,17.29,$1.27,13.6
2014-09-30,15.62,$-0.19,0.0
2014-06-30,14.0,$0.18,77.34
2014-03-31,18.12,$0.75,24.22
2013-12-31,17.21,$0.54,31.96
2013-09-30,17.29,$0.78,22.07
2013-06-30,16.47,$0.26,64.34
2013-03-31,18.12,$-0.47,0.0
2012-12-31,11.12,0,0.0
2011-06-30,11.36,0,0.0
2011-03-31,11.57,0,0.0
