Soluna Holdings Price to Free Cash Flow Ratio Historical Data,Soluna Holdings Price to Free Cash Flow Ratio Historical Data,Soluna Holdings Price to Free Cash Flow Ratio Historical Data,Soluna Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.0,,0.0
2024-09-30,3.13,$-0.73,0.0
2024-06-30,6.09,$-6.14,0.0
2024-03-31,2.88,$-4.75,0.0
2023-12-31,4.0,$-10.20,0.0
2023-09-30,0.21,$-13.32,0.0
2023-06-30,0.2,$-27.31,0.0
2023-03-31,0.27,$-71.40,0.0
2022-12-31,0.26,$-111.57,0.0
2022-09-30,1.71,$-164.56,0.0
2022-06-30,4.07,$-173.58,0.0
2022-03-31,11.01,$-131.17,0.0
2021-12-31,10.76,$-84.97,0.0
2021-09-30,8.02,$-29.11,0.0
2021-06-30,7.5,$3.44,2.18
2021-03-31,12.0,$5.55,2.16
2020-12-31,2.02,$2.86,0.71
