Ternium S.A Price to Free Cash Flow Ratio Historical Data,Ternium S.A Price to Free Cash Flow Ratio Historical Data,Ternium S.A Price to Free Cash Flow Ratio Historical Data,Ternium S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,32.5,,25.13
2024-09-30,35.97,$1.29,27.81
2024-06-30,36.59,$5.03,7.27
2024-03-31,38.47,$3.24,11.86
2023-12-31,39.25,$5.31,7.39
2023-09-30,35.78,$9.14,3.91
2023-06-30,35.55,$10.71,3.32
2023-03-31,35.33,$10.39,3.4
2022-12-31,26.17,$11.08,2.36
2022-09-30,22.82,$11.79,1.94
2022-06-30,30.07,$9.64,3.12
2022-03-31,36.43,$12.86,2.83
2021-12-31,34.73,$10.98,3.16
2021-09-30,33.11,$7.01,4.72
2021-06-30,30.11,$6.57,4.58
2021-03-31,28.79,$6.19,4.65
2020-12-31,21.56,$6.12,3.52
2020-09-30,13.96,$5.36,2.6
2020-06-30,11.25,$4.66,2.41
2020-03-31,8.16,$2.63,3.11
2019-12-31,15.09,$3.04,4.97
2019-09-30,13.16,$4.55,2.89
2019-06-30,15.38,$5.01,3.07
2019-03-31,17.82,$7.11,2.51
2018-12-31,17.74,$6.21,2.85
2018-09-30,19.83,$3.78,5.24
2018-06-30,22.79,$2.79,8.17
2018-03-31,20.7,$0.32,63.95
2017-12-31,20.12,$-0.12,0.0
2017-09-30,19.7,$1.26,15.62
2017-06-30,17.89,$1.11,16.1
2017-03-31,15.96,$2.69,5.94
2016-12-31,14.76,$3.39,4.35
2016-09-30,12.0,$3.42,3.51
2016-06-30,11.65,$3.53,3.3
2016-03-31,10.47,$3.83,2.74
2015-12-31,7.24,$4.34,1.67
2015-09-30,7.16,$3.90,1.83
2015-06-30,10.08,$4.20,2.4
2015-03-31,10.08,$2.18,4.62
2014-12-31,9.84,$0.31,31.34
2014-09-30,13.41,$0.27,49.82
2014-06-30,15.58,$-0.35,0.0
2014-03-31,16.08,$-0.23,0.0
2013-12-31,17.01,$1.08,15.82
2013-09-30,13.05,$0.44,29.44
2013-06-30,12.3,$0.23,52.4
2013-03-31,10.76,$0.27,39.18
2012-12-31,12.45,$0.18,70.79
2012-09-30,10.37,$1.67,6.21
2012-06-30,10.35,$1.43,7.24
2012-03-31,12.13,$0.05,252.14
2011-12-31,9.42,$0.18,51.02
2011-09-30,10.67,$-0.77,0.0
2011-06-30,15.12,$-0.88,0.0
2011-03-31,17.52,$1.15,15.23
2010-12-31,20.67,$1.74,11.89
2010-09-30,15.91,$1.28,12.46
2010-06-30,16.05,$2.10,7.66
2010-03-31,19.71,$3.83,5.15
2009-12-31,17.01,$3.88,4.39
