Orrstown Financial Services Inc Price to Free Cash Flow Ratio Historical Data,Orrstown Financial Services Inc Price to Free Cash Flow Ratio Historical Data,Orrstown Financial Services Inc Price to Free Cash Flow Ratio Historical Data,Orrstown Financial Services Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,30.83,,11.79
2024-09-30,35.74,$2.61,13.67
2024-06-30,27.0,$3.84,7.04
2024-03-31,26.22,$4.68,5.6
2023-12-31,28.68,$3.97,7.22
2023-09-30,20.24,$2.45,8.26
2023-06-30,18.3,$2.92,6.26
2023-03-31,18.75,$3.21,5.84
2022-12-31,21.69,$3.30,6.58
2022-09-30,22.24,$4.49,4.95
2022-06-30,22.31,$4.14,5.39
2022-03-31,21.0,$2.66,7.91
2021-12-31,22.9,$3.56,6.43
2021-09-30,21.09,$3.85,5.48
2021-06-30,20.63,$3.77,5.47
2021-03-31,19.79,$3.71,5.33
2020-12-31,14.53,$2.62,5.56
2020-09-30,11.11,$1.97,5.63
2020-06-30,12.64,$0.76,16.57
2020-03-31,11.65,$1.01,11.55
2019-12-31,18.99,$0.59,32.31
2019-09-30,18.26,$0.64,28.73
2019-06-30,18.21,$0.92,19.74
2019-03-31,15.28,$1.47,10.37
2018-12-31,14.85,$2.07,7.16
2018-09-30,19.41,$2.27,8.56
2018-06-30,21.1,$2.47,8.53
2018-03-31,19.5,$1.83,10.67
2017-12-31,20.29,$1.67,12.19
2017-09-30,19.92,$1.38,14.41
2017-06-30,18.21,$1.42,12.87
2017-03-31,17.73,$0.83,21.29
2016-12-31,17.69,$0.27,64.95
2016-09-30,15.52,$0.20,79.1
2016-06-30,14.12,$0.40,35.53
2016-03-31,13.48,$1.08,12.45
2015-12-31,13.82,$1.31,10.53
2015-09-30,13.01,$1.00,12.97
2015-06-30,12.43,$-11.44,0.0
2015-03-31,13.08,$1.68,7.77
2014-12-31,13.01,$2.02,6.44
2014-09-30,12.48,$3.86,3.24
2014-06-30,12.66,$16.09,0.79
2014-03-31,12.61,$4.02,3.13
2013-12-31,12.51,$3.84,3.26
2013-09-30,13.35,$2.79,4.78
2013-06-30,9.7,$2.50,3.88
2013-03-31,11.32,$1.70,6.65
2012-12-31,7.38,$2.11,3.49
2012-09-30,8.42,$2.87,2.93
2012-06-30,6.14,$3.94,1.56
2012-03-31,6.71,$4.01,1.67
2011-12-31,6.31,$4.16,1.52
2011-09-30,9.83,$4.10,2.4
2011-06-30,19.85,$3.74,5.31
2011-03-31,20.94,$3.22,6.5
2010-12-31,20.32,$3.22,6.32
2010-09-30,17.02,$1.64,10.4
2010-06-30,16.11,$1.96,8.22
2010-03-31,18.31,$2.18,8.41
2009-12-31,24.98,$1.82,13.76
