Goldman Sachs Price to Free Cash Flow Ratio Historical Data,Goldman Sachs Price to Free Cash Flow Ratio Historical Data,Goldman Sachs Price to Free Cash Flow Ratio Historical Data,Goldman Sachs Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,562.68,,0.0
2024-12-31,572.62,$-41.04,0.0
2024-09-30,492.65,$-260.06,0.0
2024-06-30,447.45,$-216.75,0.0
2024-03-31,413.19,$-142.75,0.0
2023-12-31,378.96,$-33.62,0.0
2023-09-30,315.31,$-46.30,0.0
2023-06-30,311.7,$69.86,4.46
2023-03-31,313.69,$104.03,3.02
2022-12-31,326.94,$21.41,15.27
2022-09-30,277.22,$196.39,1.41
2022-06-30,278.88,$46.91,5.95
2022-03-31,308.06,$-23.26,0.0
2021-12-31,354.84,$15.64,22.69
2021-09-30,348.8,$-36.96,0.0
2021-06-30,348.49,$167.31,2.08
2021-03-31,299.25,$75.46,3.97
2020-12-31,240.42,$-60.71,0.0
2020-09-30,182.24,$40.27,4.53
2020-06-30,178.12,$-35.42,0.0
2020-03-31,138.45,$20.77,6.67
2019-12-31,204.65,$58.74,3.48
2019-09-30,183.41,$-39.84,0.0
2019-06-30,179.98,$-79.69,0.0
2019-03-31,168.13,$-80.30,0.0
2018-12-31,145.7,$31.50,4.62
2018-09-30,195.58,$-26.95,0.0
2018-06-30,191.74,$-4.32,0.0
2018-03-31,218.18,$-50.44,0.0
2017-12-31,220.07,$-56.46,0.0
2017-09-30,204.26,$-26.08,0.0
2017-06-30,190.44,$-43.07,0.0
2017-03-31,196.48,$5.83,33.7
2016-12-31,204.26,$9.22,22.16
2016-09-30,137.15,$22.05,6.22
2016-06-30,125.87,$35.96,3.5
2016-03-31,132.45,$-3.25,0.0
2015-12-31,151.41,$17.17,8.82
2015-09-30,145.48,$7.75,18.78
2015-06-30,174.2,$-13.45,0.0
2015-03-31,156.34,$4.83,32.34
2014-12-31,160.72,$-18.13,0.0
2014-09-30,151.73,$-23.75,0.0
2014-06-30,137.97,$-11.28,0.0
2014-03-31,134.55,$10.24,13.13
2013-12-31,145.07,$7.80,18.59
2013-09-30,129.06,$4.62,27.92
2013-06-30,122.98,$15.10,8.15
2013-03-31,119.27,$5.29,22.57
2012-12-31,103.05,$23.19,4.44
2012-09-30,91.45,$57.75,1.58
2012-06-30,76.78,$35.74,2.15
2012-03-31,99.15,$42.04,2.36
2011-12-31,71.88,$38.42,1.87
2011-09-30,74.86,$-12.15,0.0
2011-06-30,105.05,$6.72,15.64
2011-03-31,124.87,$4.82,25.93
2010-12-31,132.12,$-11.13,0.0
2010-09-30,113.34,$51.27,2.21
2010-06-30,102.64,$61.59,1.67
2010-03-31,133.09,$66.88,1.99
2009-12-31,131.4,$86.04,1.53
