T Stamp Price to Free Cash Flow Ratio Historical Data,T Stamp Price to Free Cash Flow Ratio Historical Data,T Stamp Price to Free Cash Flow Ratio Historical Data,T Stamp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.15,,0.0
2024-09-30,0.22,$-11.72,0.0
2024-06-30,0.46,$-14.16,0.0
2024-03-31,0.92,$-19.52,0.0
2023-12-31,1.37,$-17.06,0.0
2023-09-30,1.65,$-16.21,0.0
2023-06-30,1.28,$-16.77,0.0
2023-03-31,2.57,$-19.11,0.0
2022-12-31,0.48,$-22.63,0.0
