Greenbrier Price to Free Cash Flow Ratio Historical Data,Greenbrier Price to Free Cash Flow Ratio Historical Data,Greenbrier Price to Free Cash Flow Ratio Historical Data,Greenbrier Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,54.84,,0.0
2024-11-30,68.0,$-0.21,0.0
2024-08-31,48.23,$0.19,247.7
2024-05-31,54.66,$-4.72,0.0
2024-02-29,50.9,$-3.73,0.0
2023-11-30,36.85,$-0.58,0.0
2023-08-31,41.25,$-6.28,0.0
2023-05-31,26.15,$-3.88,0.0
2023-02-28,30.61,$-9.27,0.0
2022-11-30,36.25,$-9.70,0.0
2022-08-31,26.73,$-11.17,0.0
2022-05-31,38.68,$-12.21,0.0
2022-02-28,41.05,$-8.61,0.0
2021-11-30,36.69,$-14.80,0.0
2021-08-31,40.21,$-4.86,0.0
2021-05-31,40.24,$0.09,441.68
2021-02-28,42.35,$8.51,4.98
2020-11-30,29.82,$9.97,2.99
2020-08-31,24.07,$8.64,2.79
2020-05-31,18.6,$4.84,3.85
2020-02-29,20.88,$-1.34,0.0
2019-11-30,23.99,$-2.06,0.0
2019-08-31,19.7,$-2.84,0.0
2019-05-31,22.81,$-4.65,0.0
2019-02-28,34.33,$-4.37,0.0
2018-11-30,40.71,$-0.50,0.0
2018-08-31,48.02,$2.43,19.78
2018-05-31,40.96,$8.27,4.95
2018-02-28,42.45,$5.64,7.53
2017-11-30,40.79,$6.16,6.62
2017-08-31,34.83,$6.87,5.07
2017-05-31,35.74,$3.49,10.23
2017-02-28,33.79,$5.64,6.0
2016-11-30,31.04,$11.33,2.74
2016-08-31,26.93,$9.30,2.9
2016-05-31,22.66,$11.18,2.03
2016-02-29,19.96,$10.76,1.86
2015-11-30,26.34,$4.06,6.49
2015-08-31,32.24,$2.75,11.73
2015-05-31,46.43,$-0.31,0.0
2015-02-28,45.2,$-0.57,0.0
2014-11-30,42.54,$1.21,35.05
2014-08-31,54.7,$3.51,15.6
2014-05-31,42.35,$6.67,6.35
2014-02-28,32.1,$6.17,5.21
2013-11-30,23.85,$5.48,4.35
2013-08-31,17.22,$4.46,3.86
2013-05-31,17.89,$0.85,21.07
2013-02-28,15.45,$2.24,6.9
2012-11-30,14.58,$0.30,49.4
2012-08-31,11.03,$0.94,11.72
2012-05-31,10.56,$1.76,6.0
2012-02-29,19.29,$-1.54,0.0
2011-11-30,16.94,$-1.80,0.0
2011-08-31,13.26,$-3.77,0.0
2011-05-31,19.89,$-4.91,0.0
2011-02-28,19.06,$-1.10,0.0
2010-11-30,14.32,$-0.95,0.0
2010-08-31,8.91,$1.31,6.78
2010-05-31,10.92,$3.34,3.27
2010-02-28,7.01,$2.75,2.55
2009-11-30,8.19,$5.53,1.48
