Perma-Pipe Holdings Price to Free Cash Flow Ratio Historical Data,Perma-Pipe Holdings Price to Free Cash Flow Ratio Historical Data,Perma-Pipe Holdings Price to Free Cash Flow Ratio Historical Data,Perma-Pipe Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.06,,10.7
2024-10-31,12.99,$1.31,9.89
2024-07-31,9.49,$1.04,9.16
2024-04-30,8.6,$0.29,29.23
2024-01-31,8.03,$0.45,17.87
2023-10-31,6.72,$-0.06,0.0
2023-07-31,8.15,$0.20,40.23
2023-04-30,10.93,$0.01,942.24
2023-01-31,10.15,$-1.00,0.0
2022-10-31,9.78,$-1.35,0.0
2022-07-31,9.23,$-1.44,0.0
2022-04-30,12.16,$-1.17,0.0
2022-01-31,8.85,$-0.58,0.0
2021-10-31,8.55,$-0.49,0.0
2021-07-31,6.89,$-1.18,0.0
2021-04-30,6.48,$-0.55,0.0
2021-01-31,6.09,$-0.22,0.0
2020-10-31,5.54,$0.13,42.55
2020-07-31,5.91,$0.72,8.22
2020-04-30,5.7,$0.13,44.71
2020-01-31,9.03,$0.26,34.74
2019-10-31,8.98,$0.83,10.87
2019-07-31,8.85,$0.74,11.9
2019-04-30,8.96,$0.62,14.4
2019-01-31,8.74,$0.46,18.88
2018-10-31,9.14,$0.05,175.43
2018-07-31,9.05,$-0.52,0.0
2018-04-30,9.1,$-0.45,0.0
2018-01-31,9.05,$-0.57,0.0
