Principal Financial Price to Free Cash Flow Ratio Historical Data,Principal Financial Price to Free Cash Flow Ratio Historical Data,Principal Financial Price to Free Cash Flow Ratio Historical Data,Principal Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,84.13,,4.37
2024-12-31,77.41,$19.27,4.02
2024-09-30,85.17,$17.13,4.97
2024-06-30,77.09,$16.35,4.71
2024-03-31,84.07,$14.73,5.71
2023-12-31,75.98,$15.09,5.04
2023-09-30,68.98,$15.69,4.4
2023-06-30,71.97,$16.01,4.49
2023-03-31,69.85,$14.68,4.76
2022-12-31,78.19,$11.97,6.53
2022-09-30,66.74,$11.74,5.69
2022-06-30,61.26,$10.57,5.8
2022-03-31,66.74,$11.05,6.04
2021-12-31,65.13,$11.45,5.69
2021-09-30,57.45,$9.43,6.09
2021-06-30,55.85,$9.72,5.75
2021-03-31,52.5,$7.78,6.75
2020-12-31,43.01,$13.02,3.3
2020-09-30,34.53,$14.50,2.38
2020-06-30,35.15,$17.04,2.06
2020-03-31,26.14,$20.66,1.27
2019-12-31,45.3,$19.08,2.37
2019-09-30,46.59,$20.40,2.28
2019-06-30,46.73,$21.31,2.19
2019-03-31,40.04,$19.16,2.09
2018-12-31,34.87,$17.54,1.99
2018-09-30,45.76,$14.45,3.17
2018-06-30,40.96,$13.35,3.07
2018-03-31,46.69,$14.55,3.21
2017-12-31,53.64,$13.73,3.91
2017-09-30,48.58,$14.91,3.26
2017-06-30,48.01,$11.54,4.16
2017-03-31,46.96,$11.40,4.12
2016-12-31,42.74,$12.65,3.38
2016-09-30,37.77,$13.09,2.89
2016-06-30,29.9,$14.37,2.08
2016-03-31,28.44,$15.12,1.88
2015-12-31,32.11,$14.23,2.26
2015-09-30,33.53,$13.77,2.44
2015-06-30,36.05,$12.50,2.88
2015-03-31,35.84,$10.13,3.54
2014-12-31,35.98,$9.93,3.62
2014-09-30,36.12,$9.62,3.75
2014-06-30,34.53,$8.96,3.85
2014-03-31,31.25,$7.03,4.45
2013-12-31,33.31,$7.25,4.59
2013-09-30,28.77,$6.87,4.19
2013-06-30,25.01,$7.83,3.19
2013-03-31,22.59,$9.25,2.44
2012-12-31,18.8,$10.13,1.86
2012-09-30,17.62,$10.34,1.7
2012-06-30,17.03,$7.79,2.19
2012-03-31,19.02,$7.60,2.5
2011-12-31,15.75,$8.36,1.88
2011-09-30,14.12,$8.53,1.66
2011-06-30,18.94,$9.47,2.0
2011-03-31,20.0,$10.23,1.95
2010-12-31,20.28,$8.58,2.36
2010-09-30,15.83,$7.83,2.02
2010-06-30,14.31,$7.19,1.99
2010-03-31,17.84,$5.84,3.06
2009-12-31,14.68,$7.42,1.98
