Ark Restaurants Price to Free Cash Flow Ratio Historical Data,Ark Restaurants Price to Free Cash Flow Ratio Historical Data,Ark Restaurants Price to Free Cash Flow Ratio Historical Data,Ark Restaurants Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.14,,0.0
2024-12-31,11.0,$-0.02,0.0
2024-09-30,11.99,$0.61,19.74
2024-06-30,13.11,$0.96,13.62
2024-03-31,13.58,$1.29,10.54
2023-12-31,13.71,$1.80,7.61
2023-09-30,14.68,$1.26,11.67
2023-06-30,17.61,$2.02,8.71
2023-03-31,16.65,$3.85,4.33
2022-12-31,15.5,$3.49,4.45
2022-09-30,17.28,$4.90,3.53
2022-06-30,16.63,$4.52,3.68
2022-03-31,16.94,$3.80,4.46
2021-12-31,15.43,$3.95,3.9
2021-09-30,14.4,$1.99,7.25
2021-06-30,18.12,$0.66,27.65
2021-03-31,18.47,$-2.85,0.0
2020-12-31,17.79,$-3.50,0.0
2020-09-30,9.96,$-2.00,0.0
2020-06-30,11.33,$-0.46,0.0
2020-03-31,9.7,$1.98,4.9
2019-12-31,20.63,$2.43,8.49
2019-09-30,18.93,$2.04,9.29
2019-06-30,18.31,$1.67,10.95
2019-03-31,17.23,$1.84,9.36
2018-12-31,16.03,$1.74,9.21
2018-09-30,20.33,$1.27,15.99
2018-06-30,21.55,$0.79,27.33
2018-03-31,20.54,$-1.02,0.0
2017-12-31,22.9,$-1.43,0.0
2017-09-30,20.45,$-1.01,0.0
2017-06-30,20.14,$-0.81,0.0
2017-03-31,20.8,$1.01,20.6
2016-12-31,19.75,$1.92,10.3
2016-09-30,18.07,$1.55,11.62
2016-06-30,17.78,$2.57,6.92
2016-03-31,16.22,$2.41,6.73
2015-12-31,18.07,$1.68,10.74
2015-09-30,17.58,$2.31,7.62
2015-06-30,19.06,$2.05,9.31
2015-03-31,18.47,$1.86,9.95
2014-12-31,16.82,$2.34,7.18
2014-09-30,16.57,$2.42,6.84
2014-06-30,16.28,$2.94,5.54
2014-03-31,15.98,$2.69,5.94
2013-12-31,15.35,$2.95,5.21
2013-09-30,15.12,$2.90,5.22
2013-06-30,14.75,$3.12,4.73
2013-03-31,14.45,$3.62,4.0
2012-12-31,11.47,$2.45,4.68
2012-09-30,11.3,$1.63,6.93
2012-06-30,9.54,$1.23,7.74
2012-03-31,10.45,$1.15,9.09
2011-12-31,8.57,$1.65,5.21
2011-09-30,8.32,$1.63,5.09
2011-06-30,9.4,$0.70,13.34
2011-03-31,8.61,$1.26,6.83
2010-12-31,8.52,$1.48,5.76
2010-09-30,8.64,$0.75,11.47
2010-06-30,7.72,$1.38,5.6
2010-03-31,7.61,$0.70,10.85
2009-12-31,8.03,$-0.12,0.0
