PrimeEnergy Price to Free Cash Flow Ratio Historical Data,PrimeEnergy Price to Free Cash Flow Ratio Historical Data,PrimeEnergy Price to Free Cash Flow Ratio Historical Data,PrimeEnergy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,215.0,,0.0
2024-09-30,137.8,$-3.90,0.0
2024-06-30,106.35,$1.90,56.11
2024-03-31,100.25,$-3.16,0.0
2023-12-31,106.35,$1.27,83.62
2023-09-30,115.99,$1.90,60.96
2023-06-30,92.03,$1.37,67.2
2023-03-31,84.75,$10.40,8.15
2022-12-31,86.87,$17.93,4.85
2022-09-30,79.8,$19.88,4.01
2022-06-30,78.4,$14.12,5.55
2022-03-31,69.48,$9.25,7.51
2021-12-31,70.1,$3.41,20.53
2021-09-30,58.43,$6.57,8.9
2021-06-30,47.0,$10.82,4.35
2021-03-31,52.39,$7.46,7.02
2020-12-31,43.17,$8.38,5.15
2020-09-30,69.04,$7.99,8.64
2020-06-30,71.09,$4.98,14.27
2020-03-31,74.0,$10.26,7.22
2019-12-31,151.26,$4.94,30.61
2019-09-30,115.0,$1.33,86.6
2019-06-30,133.13,$4.13,32.23
2019-03-31,169.0,$-0.40,0.0
2018-12-31,70.05,$-1.68,0.0
2018-09-30,72.2,$-4.26,0.0
2018-06-30,71.0,$-5.65,0.0
2018-03-31,52.9,$-9.08,0.0
2017-12-31,51.5,$9.10,5.66
2017-09-30,47.0,$14.24,3.3
2017-06-30,47.05,$15.77,2.98
2017-03-31,50.0,$23.50,2.13
2016-12-31,54.0,$8.34,6.48
2016-09-30,58.31,$8.80,6.63
2016-06-30,60.76,$5.62,10.82
2016-03-31,33.39,$3.98,8.39
2015-12-31,53.0,$3.71,14.27
2015-09-30,72.0,$1.60,44.93
2015-06-30,56.0,$4.67,11.99
2015-03-31,53.5,$4.82,11.1
2014-12-31,72.74,$7.78,9.35
2014-09-30,65.13,$6.30,10.33
2014-06-30,62.0,$4.56,13.61
2014-03-31,52.4,$3.47,15.09
2013-12-31,51.42,$1.71,30.05
2013-09-30,50.29,$0.22,233.15
2013-06-30,37.0,$-4.93,0.0
2013-03-31,29.49,$-10.44,0.0
2012-12-31,23.0,$-13.60,0.0
2012-09-30,27.49,$-11.08,0.0
2012-06-30,26.9,$-7.53,0.0
2012-03-31,25.75,$-1.56,0.0
2011-12-31,22.59,$0.94,24.06
2011-09-30,19.54,$6.82,2.86
2011-06-30,23.4,$10.34,2.26
2011-03-31,26.16,$11.10,2.36
2010-12-31,19.35,$13.36,1.45
2010-09-30,18.3,$7.97,2.3
2010-06-30,19.74,$6.37,3.1
2010-03-31,29.0,$6.47,4.48
2009-12-31,36.39,$5.36,6.79
