Lsb Industries Price to Free Cash Flow Ratio Historical Data,Lsb Industries Price to Free Cash Flow Ratio Historical Data,Lsb Industries Price to Free Cash Flow Ratio Historical Data,Lsb Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.23,,0.0
2024-12-31,7.59,$-0.08,0.0
2024-09-30,8.04,$0.12,69.19
2024-06-30,8.18,$0.45,18.29
2024-03-31,8.78,$0.48,18.46
2023-12-31,9.31,$0.93,10.0
2023-09-30,10.23,$1.91,5.36
2023-06-30,9.85,$2.14,4.61
2023-03-31,10.33,$3.16,3.27
2022-12-31,13.3,$3.49,3.82
2022-09-30,14.25,$2.70,5.28
2022-06-30,13.86,$2.93,4.73
2022-03-31,21.84,$1.73,12.6
2021-12-31,11.05,$1.05,10.52
2021-09-30,7.85,$0.03,237.27
2021-06-30,4.65,$-0.54,0.0
2021-03-31,3.95,$-0.37,0.0
2020-12-31,2.61,$-0.90,0.0
2020-09-30,1.25,$-1.43,0.0
2020-06-30,0.89,$-1.10,0.0
2020-03-31,1.62,$-1.28,0.0
2019-12-31,3.23,$-0.93,0.0
2019-09-30,3.98,$-0.31,0.0
2019-06-30,3.0,$-0.66,0.0
2019-03-31,4.8,$-0.22,0.0
2018-12-31,4.25,$-0.36,0.0
2018-09-30,7.52,$-0.90,0.0
2018-06-30,4.08,$-1.15,0.0
2018-03-31,4.72,$-0.90,0.0
2017-12-31,6.74,$-0.94,0.0
2017-09-30,6.11,$-0.69,0.0
2017-06-30,7.95,$-1.77,0.0
2017-03-31,7.22,$-3.99,0.0
2016-12-31,6.48,$-6.93,0.0
2016-09-30,6.6,$-11.28,0.0
2016-06-30,9.29,$-15.10,0.0
2016-03-31,9.81,$-16.30,0.0
2015-12-31,5.58,$-14.99,0.0
2015-09-30,11.78,$-11.86,0.0
2015-06-30,31.42,$-9.16,0.0
2015-03-31,31.79,$-7.02,0.0
2014-12-31,24.18,$-6.03,0.0
2014-09-30,27.47,$-4.78,0.0
2014-06-30,32.05,$-2.09,0.0
2014-03-31,28.78,$-1.93,0.0
2013-12-31,31.55,$-3.32,0.0
2013-09-30,25.79,$-2.34,0.0
2013-06-30,23.39,$-2.99,0.0
2013-03-31,26.75,$-1.83,0.0
2012-12-31,27.25,$0.23,116.89
2012-09-30,33.75,$1.19,28.43
2012-06-30,23.78,$1.42,16.69
2012-03-31,29.94,$0.98,30.68
2011-12-31,21.56,$1.50,14.36
2011-09-30,22.05,$1.15,19.21
2011-06-30,33.02,$1.14,29.01
2011-03-31,30.49,$1.24,24.54
2010-12-31,18.66,$0.32,57.47
2010-09-30,14.28,$-0.01,0.0
2010-06-30,10.24,$0.30,33.67
2010-03-31,11.72,$0.08,155.89
2009-12-31,10.85,$0.98,11.01
