Auddia Price to Free Cash Flow Ratio Historical Data,Auddia Price to Free Cash Flow Ratio Historical Data,Auddia Price to Free Cash Flow Ratio Historical Data,Auddia Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.31,,0.0
2024-12-31,0.51,$-2.37,0.0
2024-09-30,0.66,$-4.10,0.0
2024-06-30,0.97,$-4.84,0.0
2024-03-31,1.94,$-7.00,0.0
2023-12-31,0.25,$-8.13,0.0
2023-09-30,0.36,$-7.98,0.0
2023-06-30,0.41,$-10.01,0.0
2023-03-31,0.71,$-12.20,0.0
2022-12-31,0.96,$-13.37,0.0
2022-09-30,1.33,$-16.80,0.0
2022-06-30,0.87,$-16.50,0.0
2022-03-31,2.04,$-10.85,0.0
2021-12-31,1.78,$-16.89,0.0
