Vera Therapeutics Price to Free Cash Flow Ratio Historical Data,Vera Therapeutics Price to Free Cash Flow Ratio Historical Data,Vera Therapeutics Price to Free Cash Flow Ratio Historical Data,Vera Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,27.7,,0.0
2024-12-31,42.29,$-2.45,0.0
2024-09-30,44.2,$-2.39,0.0
2024-06-30,36.18,$-2.24,0.0
2024-03-31,43.12,$-2.13,0.0
2023-12-31,15.38,$-2.16,0.0
2023-09-30,13.71,$-2.35,0.0
2023-06-30,16.05,$-2.51,0.0
2023-03-31,7.76,$-2.87,0.0
2022-12-31,19.35,$-2.55,0.0
2022-09-30,21.31,$-3.03,0.0
2022-06-30,13.61,$-2.05,0.0
2022-03-31,23.49,$-2.51,0.0
