Lovesac Price to Free Cash Flow Ratio Historical Data,Lovesac Price to Free Cash Flow Ratio Historical Data,Lovesac Price to Free Cash Flow Ratio Historical Data,Lovesac Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.53,,10.43
2024-10-31,29.16,$1.68,17.34
2024-07-31,27.36,$1.02,26.92
2024-04-30,22.18,$1.84,12.06
2024-01-31,23.16,$2.90,7.99
2023-10-31,16.46,$2.64,6.23
2023-07-31,29.28,$2.60,11.25
2023-04-30,26.29,$-1.07,0.0
2023-01-31,25.74,$-2.92,0.0
2022-10-31,24.34,$-2.91,0.0
2022-07-31,31.16,$-3.03,0.0
2022-04-30,43.84,$0.18,237.49
2022-01-31,53.85,$1.12,47.95
2021-10-31,78.01,$0.43,182.74
2021-07-31,60.7,$1.21,50.25
2021-04-30,73.27,$1.50,48.82
2021-01-31,56.54,$2.10,26.97
2020-10-31,25.74,$1.49,17.3
2020-07-31,31.78,$0.88,36.01
2020-04-30,11.93,$-0.93,0.0
2020-01-31,11.35,$-1.48,0.0
2019-10-31,16.33,$-2.96,0.0
2019-07-31,21.44,$-1.43,0.0
2019-04-30,39.4,$-2.42,0.0
