PulteGroup Price to Free Cash Flow Ratio Historical Data,PulteGroup Price to Free Cash Flow Ratio Historical Data,PulteGroup Price to Free Cash Flow Ratio Historical Data,PulteGroup Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,105.34,,14.15
2024-12-31,108.9,$7.45,14.63
2024-09-30,143.53,$6.03,23.82
2024-06-30,109.94,$6.07,18.1
2024-03-31,120.23,$7.48,16.07
2023-12-31,102.7,$9.52,10.79
2023-09-30,73.53,$12.42,5.92
2023-06-30,76.98,$8.48,9.08
2023-03-31,57.63,$4.68,12.31
2022-12-31,44.89,$2.35,19.07
2022-09-30,36.84,$-0.02,0.0
2022-06-30,38.79,$2.23,17.43
2022-03-31,40.87,$3.69,11.07
2021-12-31,55.57,$3.58,15.51
2021-09-30,44.52,$3.79,11.75
2021-06-30,52.75,$5.06,10.42
2021-03-31,50.56,$6.34,7.98
2020-12-31,41.46,$6.41,6.47
2020-09-30,44.36,$6.26,7.09
2020-06-30,32.52,$5.57,5.84
2020-03-31,21.25,$3.87,5.5
2019-12-31,36.8,$3.70,9.95
2019-09-30,34.56,$3.45,10.03
2019-06-30,29.81,$4.08,7.31
2019-03-31,26.27,$4.86,5.41
2018-12-31,24.32,$4.88,4.99
2018-09-30,23.08,$4.70,4.91
2018-06-30,26.7,$3.34,7.98
2018-03-31,27.3,$2.50,10.94
2017-12-31,30.69,$2.06,14.92
2017-09-30,25.16,$1.83,13.74
2017-06-30,22.5,$1.57,14.31
2017-03-31,21.52,$0.38,56.01
2016-12-31,16.73,$0.08,197.55
2016-09-30,18.16,$-1.26,0.0
2016-06-30,17.58,$-1.46,0.0
2016-03-31,16.8,$-1.16,0.0
2015-12-31,15.92,$-1.06,0.0
2015-09-30,16.77,$-0.52,0.0
2015-06-30,17.84,$-0.00,0.0
2015-03-31,19.6,$0.40,49.6
2014-12-31,18.85,$0.69,27.21
2014-09-30,15.45,$1.24,12.49
2014-06-30,17.59,$1.48,11.86
2014-03-31,16.7,$1.71,9.75
2013-12-31,17.68,$2.20,8.03
2013-09-30,14.28,$2.27,6.29
2013-06-30,16.33,$2.24,7.28
2013-03-31,17.42,$2.34,7.45
2012-12-31,15.63,$1.96,7.97
2012-09-30,13.34,$1.53,8.7
2012-06-30,9.21,$1.15,8.03
2012-03-31,7.62,$0.46,16.51
2011-12-31,5.43,$0.02,312.09
2011-09-30,3.4,$-0.99,0.0
2011-06-30,6.59,$-1.27,0.0
2011-03-31,6.37,$-0.40,0.0
2010-12-31,6.47,$1.53,4.23
2010-09-30,7.54,$3.41,2.21
2010-06-30,7.13,$3.03,2.35
2010-03-31,9.68,$3.03,3.2
2009-12-31,8.61,$2.31,3.73
