Serina Therapeutics Price to Free Cash Flow Ratio Historical Data,Serina Therapeutics Price to Free Cash Flow Ratio Historical Data,Serina Therapeutics Price to Free Cash Flow Ratio Historical Data,Serina Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.54,,0.0
2024-09-30,6.69,$-8.00,0.0
2024-06-30,9.58,$-7.92,0.0
2024-03-31,13.46,$-7.72,0.0
2023-12-31,0.39,$-7.23,0.0
2023-09-30,0.68,$-1.62,0.0
2023-06-30,0.89,$-2.62,0.0
2023-03-31,0.66,$-4.07,0.0
2022-12-31,0.55,$-5.50,0.0
2022-09-30,0.56,$-5.82,0.0
2022-06-30,0.58,$-6.43,0.0
2022-03-31,0.85,$-6.36,0.0
2021-12-31,1.09,$-7.30,0.0
2021-09-30,0.94,$-7.28,0.0
2021-06-30,1.55,$-7.30,0.0
2021-03-31,1.62,$-7.85,0.0
2020-12-31,1.52,$-7.33,0.0
2020-09-30,0.81,$-8.44,0.0
2020-06-30,0.95,$-9.11,0.0
2020-03-31,0.93,$-9.58,0.0
2019-12-31,1.82,$-10.20,0.0
2019-09-30,1.96,$-15.45,0.0
