T Rowe Price Price to Free Cash Flow Ratio Historical Data,T Rowe Price Price to Free Cash Flow Ratio Historical Data,T Rowe Price Price to Free Cash Flow Ratio Historical Data,T Rowe Price Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,93.04,,16.46
2024-12-31,113.09,$5.65,20.01
2024-09-30,107.81,$6.37,16.92
2024-06-30,112.79,$5.58,20.22
2024-03-31,117.98,$4.44,26.6
2023-12-31,103.1,$4.05,25.43
2023-09-30,99.27,$4.22,23.52
2023-06-30,104.88,$5.74,18.27
2023-03-31,104.55,$6.78,15.41
2022-12-31,99.85,$9.34,10.69
2022-09-30,95.12,$11.57,8.22
2022-06-30,101.85,$13.75,7.41
2022-03-31,134.04,$14.54,9.22
2021-12-31,172.82,$14.04,12.31
2021-09-30,171.92,$12.40,13.86
2021-06-30,172.15,$8.01,21.49
2021-03-31,146.14,$8.31,17.59
2020-12-31,128.13,$7.37,17.38
2020-09-30,107.87,$7.53,14.33
2020-06-30,103.17,$8.64,11.94
2020-03-31,80.97,$6.44,12.57
2019-12-31,100.19,$5.52,18.14
2019-09-30,93.37,$6.04,15.46
2019-06-30,89.09,$6.01,14.82
2019-03-31,80.72,$6.16,13.11
2018-12-31,73.88,$5.88,12.57
2018-09-30,86.72,$4.78,18.15
2018-06-30,91.62,$3.38,27.08
2018-03-31,84.73,$1.54,55.05
2017-12-31,81.85,$0.18,462.16
2017-09-30,70.32,$0.38,184.36
2017-06-30,57.18,$0.69,82.7
2017-03-31,52.1,$0.52,100.74
2016-12-31,57.08,$0.09,643.54
2016-09-30,50.08,$0.96,52.01
2016-06-30,54.52,$1.87,29.2
2016-03-31,54.48,$3.54,15.37
2015-12-31,52.62,$5.29,9.95
2015-09-30,50.74,$5.26,9.64
2015-06-30,56.38,$5.12,11.0
2015-03-31,56.91,$4.73,12.04
2014-12-31,59.96,$4.55,13.17
2014-09-30,54.46,$4.41,12.36
2014-06-30,58.31,$4.13,14.11
2014-03-31,56.59,$4.30,13.15
2013-12-31,57.26,$4.23,13.52
2013-09-30,48.93,$4.14,11.83
2013-06-30,49.53,$3.99,12.43
2013-03-31,50.4,$3.87,13.04
2012-12-31,43.61,$3.16,13.78
2012-09-30,41.53,$2.96,14.05
2012-06-30,41.08,$2.88,14.26
2012-03-31,42.36,$3.03,13.99
2011-12-31,36.75,$3.29,11.17
2011-09-30,30.66,$3.42,8.98
2011-06-30,38.49,$3.04,12.67
2011-03-31,42.13,$2.66,15.86
2010-12-31,40.75,$2.32,17.57
2010-09-30,31.47,$2.48,12.68
2010-06-30,27.75,$2.20,12.64
2010-03-31,34.18,$1.98,17.24
2009-12-31,32.94,$1.53,21.51
