Loop Industries Price to Free Cash Flow Ratio Historical Data,Loop Industries Price to Free Cash Flow Ratio Historical Data,Loop Industries Price to Free Cash Flow Ratio Historical Data,Loop Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.17,,0.0
2024-11-30,1.48,$-0.25,0.0
2024-08-31,1.63,$-0.29,0.0
2024-05-31,2.65,$-0.41,0.0
2024-02-29,3.14,$-0.49,0.0
2023-11-30,3.51,$-0.32,0.0
2023-08-31,2.81,$-0.18,0.0
2023-05-31,3.01,$-0.19,0.0
2023-02-28,2.6,$-0.28,0.0
2022-11-30,2.8,$-0.63,0.0
2022-08-31,5.36,$-0.87,0.0
2022-05-31,5.32,$-0.89,0.0
2022-02-28,6.94,$-1.06,0.0
2021-11-30,13.64,$-1.01,0.0
2021-08-31,9.07,$-0.96,0.0
2021-05-31,9.23,$-0.86,0.0
2021-02-28,8.61,$-0.59,0.0
2020-11-30,8.36,$-0.47,0.0
2020-08-31,11.02,$-0.38,0.0
2020-05-31,8.58,$-0.36,0.0
2020-02-29,8.78,$-0.30,0.0
2019-11-30,10.19,$-0.29,0.0
2019-08-31,14.15,$-0.30,0.0
2019-05-31,8.45,$-0.27,0.0
2019-02-28,9.69,$-0.28,0.0
2018-11-30,8.19,$-0.35,0.0
2018-08-31,9.88,$-0.43,0.0
