Adeia Price to Free Cash Flow Ratio Historical Data,Adeia Price to Free Cash Flow Ratio Historical Data,Adeia Price to Free Cash Flow Ratio Historical Data,Adeia Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.81,,7.41
2024-12-31,13.98,$1.86,7.5
2024-09-30,11.91,$1.25,9.52
2024-06-30,11.19,$1.31,8.52
2024-03-31,10.92,$1.35,8.07
2023-12-31,12.39,$1.32,9.39
2023-09-30,10.68,$2.49,4.29
