Metallus Price to Free Cash Flow Ratio Historical Data,Metallus Price to Free Cash Flow Ratio Historical Data,Metallus Price to Free Cash Flow Ratio Historical Data,Metallus Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.87,,0.0
2024-12-31,14.13,$-0.54,0.0
2024-09-30,14.83,$0.70,21.12
2024-06-30,20.27,$1.67,12.16
2024-03-31,22.25,$1.90,11.68
2023-12-31,23.45,$1.58,14.87
2023-09-30,21.72,$0.41,53.46
2023-06-30,21.57,$1.29,16.66
2023-03-31,18.34,$2.08,8.82
2022-12-31,18.17,$2.19,8.3
2022-09-30,14.99,$3.67,4.08
2022-06-30,18.71,$3.54,5.29
2022-03-31,21.88,$3.31,6.61
2021-12-31,16.5,$3.38,4.88
2021-09-30,13.08,$2.94,4.45
2021-06-30,14.15,$2.84,4.98
2021-03-31,11.75,$2.39,4.92
2020-12-31,4.67,$3.72,1.25
2020-09-30,3.55,$3.29,1.08
2020-06-30,3.89,$3.14,1.24
2020-03-31,3.23,$3.09,1.04
2019-12-31,7.86,$0.72,10.9
2019-09-30,6.29,$0.60,10.55
2019-06-30,8.13,$-0.28,0.0
2019-03-31,10.86,$-0.81,0.0
2018-12-31,8.74,$-0.46,0.0
2018-09-30,14.87,$-1.03,0.0
2018-06-30,16.35,$-0.99,0.0
2018-03-31,15.19,$-0.39,0.0
2017-12-31,15.19,$-0.56,0.0
2017-09-30,16.5,$-0.48,0.0
2017-06-30,15.37,$-0.44,0.0
2017-03-31,18.91,$-0.20,0.0
2016-12-31,15.48,$0.72,21.58
2016-09-30,10.45,$1.07,9.78
2016-06-30,9.62,$0.78,12.38
2016-03-31,9.1,$0.99,9.19
2015-12-31,8.38,$0.66,12.73
2015-09-30,10.12,$-0.20,0.0
2015-06-30,26.74,$0.07,403.93
2015-03-31,26.11,$-0.84,0.0
