ImmuCell Price to Free Cash Flow Ratio Historical Data,ImmuCell Price to Free Cash Flow Ratio Historical Data,ImmuCell Price to Free Cash Flow Ratio Historical Data,ImmuCell Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.93,,0.0
2024-09-30,3.63,$-0.09,0.0
2024-06-30,4.85,$-0.12,0.0
2024-03-31,5.3,$-0.36,0.0
2023-12-31,5.09,$-0.85,0.0
2023-09-30,5.34,$-1.10,0.0
2023-06-30,5.0,$-1.24,0.0
2023-03-31,5.16,$-1.14,0.0
2022-12-31,6.1,$-0.71,0.0
2022-09-30,7.48,$-0.37,0.0
2022-06-30,8.69,$-0.17,0.0
2022-03-31,9.65,$-0.10,0.0
2021-12-31,8.0,$-0.22,0.0
2021-09-30,9.36,$-0.21,0.0
2021-06-30,9.5,$-0.45,0.0
2021-03-31,9.64,$-0.45,0.0
2020-12-31,5.95,$-0.38,0.0
2020-09-30,5.43,$-0.44,0.0
2020-06-30,4.73,$-0.18,0.0
2020-03-31,3.79,$-0.24,0.0
2019-12-31,5.15,$-0.10,0.0
2019-09-30,5.57,$-0.07,0.0
2019-06-30,6.5,$-0.12,0.0
2019-03-31,6.35,$-0.13,0.0
2018-12-31,7.05,$-0.39,0.0
2018-09-30,8.33,$-1.25,0.0
2018-06-30,6.82,$-2.06,0.0
2018-03-31,7.0,$-2.78,0.0
2017-12-31,8.79,$-3.34,0.0
2017-09-30,6.5,$-2.93,0.0
2017-06-30,7.33,$-2.29,0.0
2017-03-31,5.53,$-1.51,0.0
2016-12-31,5.95,$-0.87,0.0
2016-09-30,7.73,$-0.42,0.0
2016-06-30,6.9,$-0.08,0.0
2016-03-31,6.85,$-0.16,0.0
2015-12-31,7.54,$0.08,96.54
2015-09-30,5.95,$-0.14,0.0
2015-06-30,7.85,$-0.38,0.0
2015-03-31,6.29,$-0.36,0.0
2014-12-31,4.86,$-0.41,0.0
2014-09-30,4.97,$-0.28,0.0
2014-06-30,4.4,$-0.11,0.0
2014-03-31,4.8,$0.11,44.94
2013-12-31,4.27,$0.16,26.29
2013-09-30,4.73,$0.33,14.13
2013-06-30,3.76,$0.27,13.78
2013-03-31,3.68,$0.14,26.65
2012-12-31,4.0,$0.02,180.18
2012-09-30,5.11,$0.06,82.55
2012-06-30,5.85,$-0.02,0.0
2012-03-31,5.42,$-0.10,0.0
2011-12-31,4.65,$-0.09,0.0
2011-09-30,5.3,$-0.32,0.0
2011-06-30,7.9,$-0.23,0.0
2011-03-31,3.43,$-0.19,0.0
2010-12-31,3.2,$-0.31,0.0
2010-09-30,3.2,$-0.29,0.0
2010-06-30,3.37,$-0.20,0.0
2010-03-31,3.51,$-0.27,0.0
2009-12-31,3.71,$-0.19,0.0
