Wheaton Precious Metals Price to Free Cash Flow Ratio Historical Data,Wheaton Precious Metals Price to Free Cash Flow Ratio Historical Data,Wheaton Precious Metals Price to Free Cash Flow Ratio Historical Data,Wheaton Precious Metals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,75.57,,0.0
2024-09-30,60.93,$-0.03,0.0
2024-06-30,52.16,$-0.36,0.0
2024-03-31,46.75,$-0.47,0.0
2023-12-31,48.94,$0.29,167.27
2023-09-30,40.1,$1.33,30.15
2023-06-30,42.59,$1.39,30.61
2023-03-31,47.31,$1.46,32.44
2022-12-31,38.26,$1.60,23.98
2022-09-30,31.56,$1.08,29.2
2022-06-30,34.98,$1.28,27.38
2022-03-31,46.02,$1.20,38.35
2021-12-31,41.39,$1.01,41.14
2021-09-30,36.11,$1.42,25.48
2021-06-30,42.2,$1.48,28.44
2021-03-31,36.48,$1.48,24.71
2020-12-31,39.72,$1.70,23.36
2020-09-30,46.55,$1.53,30.49
2020-06-30,41.71,$1.36,30.63
2020-03-31,26.01,$1.27,20.52
2019-12-31,28.01,$1.14,24.6
2019-09-30,24.63,$1.08,22.71
2019-06-30,22.62,$-0.17,0.0
2019-03-31,22.1,$-0.97,0.0
2018-12-31,18.12,$-0.95,0.0
2018-09-30,16.23,$-0.82,0.0
2018-06-30,20.36,$0.39,52.05
2018-03-31,18.64,$1.50,12.44
